time_s,time_us,sequential_600us_aod_center_m,sequential_600us_aod_center_um,sequential_600us_aod_depth_J,sequential_600us_aod_depth_uK,sequential_600us_center_velocity_m_per_s,sequential_600us_center_acceleration_m_per_s2,sequential_600us_depth_rate_J_per_s,sequential_400us_aod_center_m,sequential_400us_aod_center_um,sequential_400us_aod_depth_J,sequential_400us_aod_depth_uK,sequential_400us_center_velocity_m_per_s,sequential_400us_center_acceleration_m_per_s2,sequential_400us_depth_rate_J_per_s,overlapped_optimized_400us_aod_center_m,overlapped_optimized_400us_aod_center_um,overlapped_optimized_400us_aod_depth_J,overlapped_optimized_400us_aod_depth_uK,overlapped_optimized_400us_center_velocity_m_per_s,overlapped_optimized_400us_center_acceleration_m_per_s2,overlapped_optimized_400us_depth_rate_J_per_s
0.00030859999999999997,308.59999999999997,8.488178323972305e-10,0.0008488178323972305,3.8658171999999996e-27,0.0002799999999999999,-0.0004974776209983279,144.70490062206034,0.0,8.488178323977635e-10,0.0008488178323977634,3.8658171999999996e-27,0.0002799999999999999,-0.0007462164314975125,325.58602639963584,0.0,1.1788648996056886e-06,1.1788648996056885,3.8658171999999996e-27,0.0002799999999999999,-0.011471192333032251,2.198147961704304,-0.0
0.00030879999999999997,308.79999999999995,7.522176705606398e-10,0.0007522176705606398,3.8658171999999996e-27,0.0002799999999999999,-0.0004685176756182681,144.8945531785768,0.0,7.522176705606398e-10,0.0007522176705606398,3.8658171999999996e-27,0.0002799999999999999,-0.0007027765134274022,326.01274465179785,0.0,1.177335427305009e-06,1.177335427305009,3.8658171999999996e-27,0.0002799999999999999,-0.011470888642448922,2.3572097353277583,-0.0
0.000309,309.0,6.614132908513425e-10,0.0006614132908513425,3.8658171999999996e-27,0.0002799999999999999,-0.00043951979972690203,145.08420573509326,0.0,6.614132908513425e-10,0.0006614132908513425,3.8658171999999996e-27,0.0002799999999999999,-0.000659279699590353,326.43946290395985,0.0,1.175805996910271e-06,1.175805996910271,3.8658171999999996e-27,0.0002799999999999999,-0.011470563744060107,2.5162649704771844,-0.0
0.0003092,309.2,5.764122793717519e-10,0.0005764122793717519,3.8658171999999996e-27,0.0002799999999999999,-0.00041048399332423646,145.2738582916097,0.0,5.764122793717519e-10,0.0005764122793717519,3.8658171999999996e-27,0.0002799999999999999,-0.0006157259899863547,326.8661811561219,0.0,1.1742766112491227e-06,1.1742766112491227,3.8658171999999996e-27,0.0002799999999999999,-0.011470217638767015,2.6753132258629506,-0.0
0.0003094,309.4,4.972222222221489e-10,0.0004972222222221488,3.8658171999999996e-27,0.0002799999999999999,-0.000381410256410258,145.4635108481262,0.0,4.972222222216161e-10,0.0004972222222216161,3.8658171999999996e-27,0.0002799999999999999,-0.0005721153846153972,327.292899408284,0.0,1.1727472731490866e-06,1.1727472731490867,3.8658171999999996e-27,0.0002799999999999999,-0.011469850327529691,2.8343540601955355,-0.0
0.0003096,309.59999999999997,4.2385070550761125e-10,0.00042385070550761124,3.8658171999999996e-27,0.0002799999999999999,-0.00035229858898498006,145.6531634046427,0.0,4.2385070550707834e-10,0.00042385070550707835,3.8658171999999996e-27,0.0002799999999999999,-0.00052844788347747,327.719617660446,0.0,1.1712179854375554e-06,1.1712179854375555,3.8658171999999996e-27,0.0002799999999999999,-0.011469461811367071,2.9933870321861944,-0.0
0.0003098,309.8,3.563053153284201e-10,0.0003563053153284201,3.8658171999999996e-27,0.0002799999999999999,-0.00032314899104839595,145.84281596115918,0.0,3.563053153278872e-10,0.0003563053153278872,3.8658171999999996e-27,0.0002799999999999999,-0.0004847234865725939,328.14633591260804,0.0,1.169688750941782e-06,1.169688750941782,3.8658171999999996e-27,0.0002799999999999999,-0.011469052091356832,3.1524117005448518,-0.0
0.00031,310.0,2.9459363778858717e-10,0.0002945936377885872,3.8658171999999996e-27,0.0002799999999999999,-0.00029396146260051245,146.03246851767562,0.0,2.9459363778805426e-10,0.00029459363778805425,3.8658171999999996e-27,0.0002799999999999999,-0.00044094219390076865,328.57305416477004,0.0,1.1681595724888697e-06,1.1681595724888698,3.8658171999999996e-27,0.0002799999999999999,-0.011468621168635576,3.31142762398243,-0.0
0.0003102,310.2,2.3872325898999233e-10,0.00023872325898999233,3.8658171999999996e-27,0.0002799999999999999,-0.00026473600364132954,146.22212107419207,0.0,2.387232589894594e-10,0.00023872325898945942,3.8658171999999996e-27,0.0002799999999999999,-0.00039710400546199437,328.9997724169321,0.0,1.1666304529057693e-06,1.1666304529057694,3.8658171999999996e-27,0.0002799999999999999,-0.011468169044398714,3.470434361209963,-0.0
0.0003104,310.40000000000003,1.8870176503344993e-10,0.00018870176503344991,3.8658171999999996e-27,0.0002799999999999999,-0.00023547261417084048,146.41177363070852,0.0,1.887017650323841e-10,0.00018870176503238412,3.8658171999999996e-27,0.0002799999999999999,-0.0003532089212562607,329.42649066909405,0.0,1.1651013950192638e-06,1.165101395019264,3.8658171999999996e-27,0.0002799999999999999,-0.011467695719900486,3.6294314709377624,-0.0
0.00031059999999999996,310.59999999999997,1.4453674202243859e-10,0.0001445367420224386,3.8658171999999996e-27,0.0002799999999999999,-0.00020617129418905203,146.60142618722494,0.0,1.4453674202243859e-10,0.0001445367420224386,3.8658171999999996e-27,0.0002799999999999999,-0.0003092569412835781,329.85320892125617,0.0,1.163572401655971e-06,1.163572401655971,3.8658171999999996e-27,0.0002799999999999999,-0.01146720119645397,3.7884185118761424,-0.0
0.00031079999999999997,310.79999999999995,1.0623577605830547e-10,0.00010623577605830547,3.8658171999999996e-27,0.0002799999999999999,-0.00017683204369595053,146.79107874374142,0.0,1.0623577605830547e-10,0.00010623577605830547,3.8658171999999996e-27,0.0002799999999999999,-0.0002652480655439258,330.27992717341823,0.0,1.162043475642325e-06,1.162043475642325,3.8658171999999996e-27,0.0002799999999999999,-0.011466685475431103,3.9473950427363853,-0.0
