shot_id,x0_um,v0_m_s,initial_aod_energy_uK,initial_excitation_energy_uK,final_x_um,final_v_m_s,final_slm_energy_uK,final_excitation_energy_uK,excitation_energy_change_uK,final_energy_over_slm_depth,captured_in_slm,capture_margin
32,2.411273361038102,0.005263018478934944,-279.7266293200658,0.27337067993416453,-0.012865756905889324,0.004375873832144991,-139.81310528708585,0.18689471291411858,-0.08647596702004598,-0.9986650377648991,True,0.9986650377648991
33,2.4122789585452025,0.01630376834791193,-277.813837907212,2.1861620927879364,-0.07589722256919455,0.006440985601960111,-138.49511641239073,1.5048835876092608,-0.6812785051786758,-0.9892508315170767,True,0.9892508315170767
34,2.4053337023730488,0.030109949265632867,-272.7423567869368,7.257643213063187,-0.13222732399421208,-0.013481916195585086,-135.01631386776813,4.983686132231834,-2.2739570808313534,-0.9644022419126298,True,0.9644022419126298
35,2.4238677551567602,-0.0018015069319944187,-279.74111329987454,0.2588867001254225,0.02565766081494349,0.002555047910653123,-139.81323366090658,0.18676633909340554,-0.07212036103201692,-0.9986659547207614,True,0.9986659547207614
36,2.4277909439372176,-0.016418846934525923,-277.5296384396554,2.470361560344538,0.093447990723193,0.0014898070418292804,-138.20742258468474,1.7925774153152494,-0.6777841450292884,-0.9871958756048911,True,0.9871958756048911
37,2.3516469456427487,-0.007042161918818831,-278.64881689126656,1.3511831087334103,0.008649752211651367,-0.01089961293936667,-139.03518455688229,0.9648154431176853,-0.386367665615725,-0.9931084611205879,True,0.9931084611205879
38,2.33265388885888,0.023924667832241026,-273.575935181012,6.424064818987947,-0.07417381275690221,-0.020441414274044556,-135.53951458985264,4.460485410147325,-1.9635794088406215,-0.9681393899275191,True,0.9681393899275191
39,2.3679635333220874,-0.01565095701771317,-277.62268930271966,2.3773106972803046,0.07075123074682278,-0.009335653673625351,-138.28326733176934,1.7167326682306472,-0.6605780290496575,-0.9877376237983525,True,0.9877376237983525
40,2.2942359192487176,-0.055929189700605765,-250.46021866619293,29.539781333807024,-0.04452213025535716,-0.050820036417326755,-118.95328846134798,21.046711538651994,-8.49306979515503,-0.8496663461524857,True,0.8496663461524857
41,2.4652418700229908,-0.027763763335297727,-272.10334712585876,7.8966528741411866,0.057319602824687434,0.025131431299463314,-134.28164724696902,5.718352753030962,-2.1783001211102233,-0.959154623192636,True,0.959154623192636
42,2.481778100722065,0.014299057006025509,-275.64332889988907,4.356671100110884,-0.0799100582449344,0.014591155282353377,-136.99833357913934,3.0016664208606327,-1.3550046792502521,-0.9785595255652811,True,0.9785595255652811
