exp_wait_time_s,sim_wait_time_s,exp_ps_success_00_parity,exp_ps_success_err_00_parity,exp_ps_success_pp_parity,exp_ps_success_err_pp_parity,sim_ps_success_00_parity,sim_ps_success_pp_parity,exp_ps_success_00_parity_and_flag,exp_ps_success_err_00_parity_and_flag,exp_ps_success_pp_parity_and_flag,exp_ps_success_err_pp_parity_and_flag,sim_ps_success_00_parity_and_flag,sim_ps_success_pp_parity_and_flag,exp_ps_success_00_parity_flag_erasure,exp_ps_success_err_00_parity_flag_erasure,exp_ps_success_pp_parity_flag_erasure,exp_ps_success_err_pp_parity_flag_erasure,sim_ps_success_00_parity_flag_erasure,sim_ps_success_pp_parity_flag_erasure
,0.37,,,,,0.9092153675023531,0.8988608905764583,,,,,0.9175251256281407,0.9090092402464066,,,,,0.9822371579452712,0.975998994722292
,0.38,,,,,0.906306539157405,0.8947737021798127,,,,,0.9165192113245703,0.9066403681788298,,,,,0.9829351535836177,0.9740529320186819
,0.39,,,,,0.9042172356587793,0.8928289300447643,,,,,0.9148172323759791,0.9019671282515853,,,,,0.9794203604481246,0.973978167047474
,0.4,,,,,0.8999913412416659,0.8847736625514403,,,,,0.9074792960662525,0.8929640718562875,,,,,0.9806763285024155,0.9702725020644096
,0.41,,,,,0.8991735537190083,0.8864924712134632,,,,,0.9087264466123213,0.8968949044585988,,,,,0.9751716851558373,0.970367390721373
,0.42,,,,,0.8961309787913746,0.8795825528498796,,,,,0.9061748195669607,0.8914782129067843,,,,,0.9813160032493907,0.9680974477958236
,0.43,,,,,0.891181408500486,0.8743208337044625,,,,,0.9030303030303031,0.8803651723668074,,,,,0.9793641940881205,0.9662162162162162
,0.44,,,,,0.8900690149681814,0.875684556407448,,,,,0.9003944773175543,0.8820534577853203,,,,,0.9777142857142858,0.9650554187192119
,0.45,,,,,0.8875122998479291,0.870372080140338,,,,,0.8967541436464088,0.8803742322525353,,,,,0.9750143595634693,0.9637476459510358
,0.46,,,,,0.8826724606192287,0.8646158078122135,,,,,0.8911023511192454,0.873437045652806,,,,,0.9735276621058894,0.9673807205452775
,0.47,,,,,0.88207160426346,0.861847536923218,,,,,0.8939547694984054,0.8736926205694364,,,,,0.9780839073262367,0.9668367346938775
,0.48,,,,,0.8802509547190398,0.8581043702747557,,,,,0.8925904652498564,0.8674796747967479,,,,,0.9758139534883721,0.9620655080213903
,0.49,,,,,0.8770080321285141,0.8545513896661071,,,,,0.8876559326950972,0.863589668329909,,,,,0.9727155311591863,0.9608108108108108
,0.5,,,,,0.8706856879889553,0.8498603351955307,,,,,0.8781487554031897,0.8605646493467487,,,,,0.9695811170212766,0.9620060790273556
