time_ms,total_trap_depth_MHz,cumulative_scattering_prob,cumulative_photoionization_prob
0.3367,1.7405418764443004,0.0002806526747985014,3.62934346315157e-05
0.3368,1.7409573889398104,0.00028077025785477135,3.631552682339287e-05
0.3369,1.7413729312653257,0.0002808878686307602,3.633762956272679e-05
0.337,1.7417885033652964,0.0002810055071309717,3.635974285279071e-05
0.3371,1.7422041051841746,0.0002811231733599063,3.638186669685702e-05
0.3372,1.7426197366664096,0.0002812408673220614,3.6404001098197216e-05
0.33729999999999993,1.7430353977564523,0.0002813585890219311,3.642614606008194e-05
0.3374,1.7434510883987542,0.0002814763384640065,3.6448301585780946e-05
0.33749999999999997,1.743866808537765,0.0002815941156527754,3.647046767856312e-05
0.33759999999999996,1.7442825581179358,0.00028171192059272247,3.649264434169649e-05
0.33769999999999994,1.7446983370837168,0.0002818297532883292,3.651483157844817e-05
0.3378,1.7451141453795596,0.0002819476137440739,3.653702939208442e-05
0.3379,1.7455299829499134,0.00028206550196443174,3.655923778587062e-05
0.33799999999999997,1.7459458497392302,0.00028218341795387456,3.658145676307125e-05
0.33809999999999996,1.7463617456919602,0.00028230136171687135,3.660368632694993e-05
0.3382,1.7467776707525535,0.0002824193332578876,3.662592648076939e-05
0.3383,1.7471936248654614,0.00028253733258138574,3.664817722779146e-05
0.3384,1.747609607975134,0.00028265535969182503,3.667043857127709e-05
0.33849999999999997,1.7480256200260222,0.0002827734145936615,3.669271051448636e-05
0.3386,1.748441660962577,0.000282891497291348,3.6714993060678436e-05
0.3387,1.7488577307292488,0.0002830096077893343,3.673728621311161e-05
0.3388,1.7492738292704877,0.0002831277460920669,3.675958997504327e-05
0.3389,1.7496899565307453,0.00028324591220398905,3.6781904349729914e-05
0.339,1.7501061124544712,0.0002833641061295409,3.680422934042715e-05
0.3391,1.7505222969861172,0.00028348232787315933,3.68265649503897e-05
0.3392,1.750938510070133,0.0002836005774392782,3.6848911182871366e-05
0.3393,1.7513547516509693,0.000283718854832328,3.6871268041125055e-05
0.33940000000000003,1.7517710216730777,0.000283837160056736,3.689363552840279e-05
0.33949999999999997,1.7521873200809073,0.00028395549311692643,3.6916013647955694e-05
0.33959999999999996,1.7526036468189106,0.0002840738540173202,3.693840240303397e-05
0.33969999999999995,1.7530200018315363,0.0002841922427623351,3.696080179688691e-05
0.3398,1.7534363850632368,0.0002843106593563857,3.698321183276294e-05
0.3399,1.7538527964584614,0.0002844291038038833,3.700563251390954e-05
0.33999999999999997,1.754269235961661,0.00028454757610923607,3.70280638435733e-05
0.34009999999999996,1.7546857035172871,0.000284666076276849,3.7050505824999913e-05
0.3402,1.7551021990697897,0.0002847846043111237,3.707295846143413e-05
0.3403,1.755518722563619,0.00028490316021645884,3.709542175611981e-05
0.3404,1.7559352739432268,0.0002850217439972497,3.711789571229991e-05
0.34049999999999997,1.7563518531530626,0.00028514035565788836,3.7140380333216446e-05
0.34059999999999996,1.756768460137578,0.00028525899520276377,3.7162875622110546e-05
0.3407,1.7571850948412227,0.0002853776626362616,3.718538158222239e-05
0.3408,1.757601757208448,0.00028549635796276424,3.720789821679127e-05
0.3409,1.7580184471837041,0.00028561508118665107,3.7230425529055536e-05
0.34099999999999997,1.758435164711442,0.00028573383231229806,3.725296352225264e-05
0.3411,1.7588519097361122,0.0002858526113440781,3.727551219961909e-05
0.3412,1.7592686822021657,0.0002859714182863608,3.7298071564390476e-05
0.3413,1.7596854820540524,0.0002860902531435124,3.7320641619801474e-05
0.3414,1.7601023092362238,0.00028620911591989624,3.734322236908582e-05
0.3415,1.7605191636931297,0.00028632800661987216,3.7365813815476324e-05
0.3416,1.760936045369221,0.00028644692524779693,3.738841596220489e-05
0.3417,1.7613529542089488,0.000286565871808024,3.741102881250246e-05
0.34179999999999994,1.7617698901567633,0.0002866848463049037,3.743365236959906e-05
0.3419,1.7621868531571152,0.000286803848742783,3.7456286636723785e-05
0.34199999999999997,1.7626038431544555,0.0002869228791260057,3.747893161710479e-05
0.34209999999999996,1.7630208600932342,0.0002870419374589124,3.7501587313969294e-05
0.34219999999999995,1.7634379039179022,0.0002871610237458405,3.752425373054359e-05
0.3423,1.7638549745729106,0.000287280137991124,3.754693087005302e-05
0.3424,1.7642720720027092,0.00028739928019909394,3.7569618735722e-05
0.34249999999999997,1.7646891961517497,0.0002875184503740778,3.759231733077399e-05
0.34259999999999996,1.7651063469644819,0.00028763764852039996,3.7615026658431516e-05
0.3427,1.7655235243853569,0.0002877568746423817,3.7637746721916165e-05
0.3428,1.7659407283588249,0.00028787612874434093,3.7660477524448574e-05
0.3429,1.7663579588293363,0.0002879954108305923,3.768321906924844e-05
0.34299999999999997,1.766775215741343,0.0002881147209054472,3.77059713595345e-05
0.3431,1.7671924990392947,0.0002882340589732139,3.7728734398524546e-05
0.3432,1.767609808667642,0.00028835342503819733,3.775150818943544e-05
0.3433,1.7680271445708355,0.0002884728191046992,3.777429273548306e-05
0.3434,1.7684445066933268,0.0002885922411770179,3.779708803988236e-05
0.3435,1.7688618949795651,0.0002887116912594487,3.781989410584733e-05
0.3436,1.7692793093740022,0.0002888311693562835,3.784271093659099e-05
0.3437,1.7696967498210883,0.0002889506754718111,3.7865538535325435e-05
0.3438,1.7701142162652737,0.00028907020961031684,3.7888376905261776e-05
0.3439,1.7705317086510097,0.00028918977177608295,3.791122604961017e-05
0.344,1.7709492269227465,0.00028930936197338835,3.7934085971579824e-05
0.34409999999999996,1.7713667710249348,0.0002894289802065088,3.795695667437898e-05
0.34419999999999995,1.7717843409020257,0.0002895486264797166,3.7979838161214896e-05
0.34429999999999994,1.7722019364984696,0.00028966830079728105,3.80027304352939e-05
0.3444,1.7726195577587158,0.00028978800316346794,3.802563349982133e-05
0.3445,1.7730372046272174,0.00028990773358253993,3.804854735800156e-05
0.34459999999999996,1.7734548770484235,0.0002900274920587564,3.8071472013038005e-05
0.34469999999999995,1.7738725749667845,0.0002901472785963735,3.8094407468133106e-05
0.3448,1.7742902983267523,0.000290267093199644,3.811735372648833e-05
0.3449,1.7747080470727763,0.0002903869358728175,3.814031079130417e-05
0.345,1.7751258211493082,0.00029050680662014036,3.8163278665780156e-05
0.34509999999999996,1.775543620500798,0.0002906267054458556,3.818625735311482e-05
0.3452,1.7759614450716956,0.0002907466323542029,3.8209246856505756e-05
0.3453,1.7763792948064532,0.0002908665873494188,3.823224717914954e-05
0.3454,1.7767971696495208,0.00029098657043573654,3.825525832424179e-05
0.3455,1.7772150695453484,0.000291106581617386,3.827828029497715e-05
0.3456,1.7776329944383877,0.0002912266208985939,3.830131309454926e-05
0.3457,1.7780509442730885,0.00029134668828358356,3.8324356726150797e-05
0.3458,1.7784689189939025,0.00029146678377657515,3.8347411192973446e-05
0.3459,1.778886918545279,0.00029158690738178547,3.837047649820791e-05
0.34600000000000003,1.779304942871669,0.00029170705910342803,3.8393552645043894e-05
0.3461,1.779722991917524,0.00029182723894571313,3.841663963667013e-05
0.34619999999999995,1.7801410656272936,0.0002919474469128477,3.8439737476274346e-05
0.34629999999999994,1.7805591639454292,0.0002920676830090354,3.846284616704329e-05
0.3464,1.780977286816381,0.0002921879472384767,3.848596571216272e-05
0.3465,1.7813954341845997,0.00029230823960536866,3.8509096114817386e-05
0.34659999999999996,1.7818136059945366,0.00029242856011390514,3.8532237378191054e-05
0.34669999999999995,1.7822318021906414,0.00029254890876827656,3.855538950546649e-05
0.3468,1.782650022717365,0.0002926692855726703,3.857855249982547e-05
0.3469,1.783068267519158,0.00029278969053127014,3.860172636444875e-05
0.347,1.7834865365404715,0.00029291012364825685,3.862491110251611e-05
0.34709999999999996,1.7839048297257554,0.00029303058492780775,3.864810671720633e-05
0.3472,1.7843231470194612,0.00029315107437409685,3.8671313211697155e-05
0.3473,1.7847414883660393,0.00029327159199129486,3.869453058916536e-05
0.3474,1.7851598537099396,0.0002933921377835693,3.8717758852786695e-05
0.3475,1.7855782429956137,0.00029351271175508424,3.874099800573592e-05
0.3476,1.7859966561675118,0.0002936333139100006,3.876424805118676e-05
0.3477,1.7864150931700844,0.00029375394425247586,3.878750899231197e-05
0.3478,1.7868335539477829,0.00029387460278666424,3.881078083228324e-05
