gate_type,rabi_freq_MHz,relative_intensity_error,gate_infidelity
TO_2photon,12.0,0.030538555088334154,0.29615902360325586
TO_2photon,12.0,0.03274549162877728,0.3263680359852319
TO_2photon,12.0,0.03511191734215131,0.357801000166474
TO_2photon,12.0,0.037649358067924674,0.39006076144098945
TO_2photon,12.0,0.040370172585965536,0.4226604678082859
TO_2photon,12.0,0.04328761281083057,0.45503901776283395
TO_2photon,12.0,0.04641588833612782,0.48659467382302635
TO_2photon,12.0,0.04977023564332114,0.5167024754080852
TO_2photon,12.0,0.05336699231206313,0.5447721621340313
TO_2photon,12.0,0.0572236765935022,0.5702873559385508
TO_2photon,12.0,0.061359072734131756,0.5928448462361837
TO_2photon,12.0,0.06579332246575682,0.6122019460508393
TO_2photon,12.0,0.07054802310718646,0.6283057664568363
TO_2photon,12.0,0.07564633275546291,0.6413339051973708
TO_2photon,12.0,0.08111308307896872,0.6516984747351462
TO_2photon,12.0,0.08697490026177834,0.6601122100895627
TO_2photon,12.0,0.093260334688322,0.6676224947862726
TO_2photon,12.0,0.1,0.6757195209205605
TO_2photon,16.0,0.0001,0.0006926134329804379
TO_2photon,16.0,0.00010722672220103231,0.000693529179276231
TO_2photon,16.0,0.00011497569953977356,0.0006944867520830567
TO_2photon,16.0,0.0001232846739442066,0.0006955856593053866
TO_2photon,16.0,0.00013219411484660288,0.0006969159196428265
TO_2photon,16.0,0.00014174741629268049,0.0006984617541818672
TO_2photon,16.0,0.0001519911082952933,0.0007002768607362597
TO_2photon,16.0,0.00016297508346206434,0.0007024032378527556
TO_2photon,16.0,0.0001747528400007683,0.0007048919178089808
TO_2photon,16.0,0.0001873817422860383,0.0007077884911764754
TO_2photon,16.0,0.00020092330025650479,0.0007123831433427652
TO_2photon,16.0,0.00021544346900318845,0.0007163637702666259
TO_2photon,16.0,0.00023101297000831605,0.0007209630538868028
TO_2photon,16.0,0.0002477076355991711,0.0007263143526079485
TO_2photon,16.0,0.00026560877829466864,0.0007325639968196462
TO_2photon,16.0,0.0002848035868435802,0.0007397479767224935
TO_2photon,16.0,0.0003053855508833416,0.0007481299661202812
TO_2photon,16.0,0.00032745491628777284,0.0007577415220348938
TO_2photon,16.0,0.0003511191734215131,0.0007690260305263097
TO_2photon,16.0,0.00037649358067924675,0.0007820277050627489
TO_2photon,16.0,0.0004037017258596554,0.0007970889156235783
TO_2photon,16.0,0.0004328761281083057,0.0008145165884270167
TO_2photon,16.0,0.0004641588833612782,0.0008346797691598518
TO_2photon,16.0,0.0004977023564332114,0.0008580816255584489
TO_2photon,16.0,0.0005336699231206312,0.000885022806497604
TO_2photon,16.0,0.0005722367659350221,0.0009160982281730679
TO_2photon,16.0,0.0006135907273413176,0.0009519570085999574
TO_2photon,16.0,0.0006579332246575682,0.00099337190249571
TO_2photon,16.0,0.0007054802310718645,0.0010411097153215643
TO_2photon,16.0,0.000756463327554629,0.0010961831021932822
TO_2photon,16.0,0.0008111308307896872,0.0011595874271140838
TO_2photon,16.0,0.0008697490026177834,0.0012335653275833414
TO_2photon,16.0,0.0009326033468832199,0.0013179984407671874
TO_2photon,16.0,0.001,0.0014131293777696063
TO_2photon,16.0,0.0010722672220103231,0.001525093527178778
TO_2photon,16.0,0.0011497569953977356,0.001653976191076656
TO_2photon,16.0,0.0012328467394420659,0.001802487474969472
TO_2photon,16.0,0.0013219411484660286,0.001973455595861262
TO_2photon,16.0,0.0014174741629268048,0.0021702735040638466
TO_2photon,16.0,0.0015199110829529332,0.002396811043767655
TO_2photon,16.0,0.0016297508346206436,0.0026573565974452595
TO_2photon,16.0,0.001747528400007683,0.0029571758470687826
TO_2photon,16.0,0.001873817422860383,0.0033019874323694243
TO_2photon,16.0,0.002009233002565046,0.0036984843116143473
TO_2photon,16.0,0.0021544346900318843,0.004154389934989289
TO_2photon,16.0,0.0023101297000831605,0.004678481777189325
TO_2photon,16.0,0.0024770763559917113,0.005280858391296328
TO_2photon,16.0,0.0026560877829466868,0.00597300739496498
TO_2photon,16.0,0.002848035868435802,0.006768008568716732
TO_2photon,16.0,0.0030538555088334154,0.007680973431353766
TO_2photon,16.0,0.0032745491628777285,0.00872914030062677
TO_2photon,16.0,0.003511191734215131,0.00993204509820278
TO_2photon,16.0,0.0037649358067924675,0.01131224202779979
TO_2photon,16.0,0.004037017258596558,0.012895240952443321
TO_2photon,16.0,0.004328761281083062,0.014710047766986367
TO_2photon,16.0,0.004641588833612782,0.01678959162691096
TO_2photon,16.0,0.004977023564332114,0.01917123458269232
TO_2photon,16.0,0.005336699231206312,0.02189897543240893
TO_2photon,16.0,0.00572236765935022,0.025017234628761043
TO_2photon,16.0,0.006135907273413176,0.028579715173353115
TO_2photon,16.0,0.006579332246575682,0.03265084938605323
TO_2photon,16.0,0.007054802310718645,0.037293883906438285
TO_2photon,16.0,0.007564633275546291,0.04258420689380937
TO_2photon,16.0,0.008111308307896872,0.048604375216542484
