absorb_at_checkpoints,alignment_nm,curve_rmse_pp,dt_us,id,jitter_nm,joint_rmse_pp,manual,ml_endpoints,ml_vector,model,no_aod_disorder,noise_us,pointing,recoil,rin,seed,shots,slm_pointing,slm_rin,temperature,vs,waist_um
,50.0,"[25.662458132814002, 29.53319605218374, 20.64573332333078, 15.205903939072]",0.025,grid_T7_R1e-09,10.0,23.389299078518413,paper_cubic,,,diffusion,,0.05,1e-24,,1e-09,26091611,256,,,7,0,
,50.0,"[21.630839833772963, 27.178245200269313, 17.118273057578907, 12.702723457682447]",0.025,grid_T7_R3e-09,10.0,20.37734464912252,paper_cubic,,,diffusion,,0.05,1e-24,,3e-09,26091611,256,,,7,0,
,50.0,"[18.83842238037966, 22.03708143940287, 8.964952407112774, 7.374242355684118]",0.025,grid_T7_R6e-09,10.0,15.614648075850338,paper_cubic,,,diffusion,,0.05,1e-24,,6e-09,26091611,256,,,7,0,
,50.0,"[6.044088971117674, 13.401447887302032, 11.943252989289439, 9.567329561679838]",0.025,jitter_off,0,10.610194435951945,paper_cubic,,,corrected_constant,,0.05,1e-24,,1e-08,26091611,256,,,15.0,0.5391689206547424,
,50.0,"[6.393935425445328, 19.54393655678631, 12.4568155133978, 9.29878657869784]",0.025,lensing_off,10.0,12.88882802014454,paper_cubic,,,corrected_constant,,0.05,1e-24,,1e-08,26091611,256,,,15.0,0,
,50.0,"[6.028566131369885, 12.957549419946657, 3.9134451449190553, 1.7556364234258468]",0.025,lens_T10_R1e-08,10.0,7.460546372823676,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-08,26091611,256,0,0,10,0.412425,
,50.0,"[4.491060077394889, 17.778503673919417, 11.263698341882124, 9.043892469861605]",0.025,lens_T10_R6e-09,10.0,11.671629115569878,paper_cubic,,True,diffusion,,0.05,1e-24,,6e-09,26091611,256,0,0,10,0.412425,
,50.0,"[12.46421882451657, 5.290371592785934, 6.330634178309799, 2.472249270533601]",0.025,lens_T13_R1e-08,10.0,7.575185279094295,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-08,26091611,256,0,0,13,0.412425,
,50.0,"[9.867050709817505, 16.010562163529126, 7.044322422714119, 7.773354942356326]",0.025,lens_T13_R6e-09,10.0,10.767361746933984,paper_cubic,,True,diffusion,,0.05,1e-24,,6e-09,26091611,256,0,0,13,0.412425,
,50.0,"[15.383443108299193, 2.8186047106342125, 8.770076480252383, 7.8474895861593215]",0.025,lens_T16_R1e-08,10.0,9.786370479593575,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-08,26091611,256,0,0,16,0.412425,
,50.0,"[10.391657061670216, 5.827780442862519, 2.6329962362505825, 1.7944537724522382]",0.025,lens_T16_R6e-09,10.0,6.166487957077941,paper_cubic,,True,diffusion,,0.05,1e-24,,6e-09,26091611,256,0,0,16,0.412425,
,50.0,"[18.089120455669335, 6.093017891928859, 11.778895142887054, 10.059176148149955]",0.025,lens_T19_R1e-08,10.0,12.290957463291024,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-08,26091611,256,0,0,19,0.412425,
,50.0,"[16.478703163060697, 3.682490689218147, 2.4899453696733294, 3.058665541493828]",0.025,lens_T19_R6e-09,10.0,8.669827830630842,paper_cubic,,True,diffusion,,0.05,1e-24,,6e-09,26091611,256,0,0,19,0.412425,
,50.0,"[4.21933990788816, 17.668330583875267, 4.843419195201426, 4.086734614696667]",0.025,lens_T7_R1e-08,10.0,9.619418436043903,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-08,26091611,256,0,0,7,0.412425,
,50.0,"[4.458475034011643, 21.23093072541341, 15.41748871575991, 10.369961718727335]",0.025,lens_T7_R6e-09,10.0,14.281679553230624,paper_cubic,,True,diffusion,,0.05,1e-24,,6e-09,26091611,256,0,0,7,0.412425,
,50.0,"[9.381819914631508, 6.671230566641037, 10.47081175415961, 4.262992506556123]",0.025,local_mean_T15,10.0,8.067447955919251,paper_cubic,,,local_mean,,0.05,1e-24,,1e-08,26091611,256,,,15.0,0.5391689206547424,
,50.0,"[3.514770217790032, 5.892731114668911, 3.606164099990415, 3.726404407952248]",0.0125,noise_half_seed23,10.0,4.300244150083706,paper_cubic,,True,diffusion,,0.025,1e-24,,5.75e-09,26091623,4096,0,0,19,0,1.11
,50.0,"[3.4496225687091244, 6.141263675778326, 3.8729482544042266, 3.528073828896424]",0.0125,noise_reference_seed23,10.0,4.389249609142156,paper_cubic,,True,diffusion,,0.05,1e-24,,5.75e-09,26091623,4096,0,0,19,0,1.11
,50.0,"[4.243767613028603, 6.368982860825121, 3.4379937085074737, 3.8705271570432123]",0.025,observation_absorbing,10.0,4.619910373806527,paper_cubic,,True,diffusion,,0.05,1e-24,,7e-09,26091612,1024,0,0,18,0,
