group,waveform,n,shots,survivors,survival,wilson95_low,wilson95_high,published_fit
Corrected formulas / controls,manual_600us,32,4096,3868,0.9443359375,0.9368892357284203,0.9509499738021437,0.8012787465914635
Corrected formulas / controls,manual_600us,33,4096,3856,0.94140625,0.9337916055815723,0.9481937190509881,0.7917423162139684
Corrected formulas / controls,manual_600us,34,4096,3842,0.93798828125,0.9301840545949541,0.9449717376566019,0.7822058858364734
Corrected formulas / controls,manual_600us,35,4096,3831,0.935302734375,0.9273540238865371,0.9424357072085155,0.7726694554589784
Corrected formulas / controls,manual_600us,36,4096,3816,0.931640625,0.9235007973638772,0.9389715776086708,0.7631330250814834
Corrected formulas / controls,manual_600us,37,4096,3805,0.928955078125,0.9206791651962416,0.936427148619803,0.7535965947039884
Corrected formulas / controls,manual_600us,38,4096,3785,0.924072265625,0.9155571142869631,0.9317927246990753,0.7440601643264934
Corrected formulas / controls,manual_600us,39,4096,3764,0.9189453125,0.9101894761317266,0.9269160642828052,0.7345430125220827
Corrected formulas / controls,manual_600us,40,4096,3749,0.915283203125,0.9063615365223625,0.9234266477696647,0.7258406564018469
Corrected formulas / controls,manual_600us,41,4096,3730,0.91064453125,0.9015195779849158,0.9189999552186056,0.7171383002816111
Corrected formulas / controls,manual_600us,42,4096,3698,0.90283203125,0.8933804434366174,0.911528730038894,0.7084359441613753
Corrected formulas / controls,manual_600us,43,4096,3672,0.896484375,0.8867806948121609,0.9054450613843424,0.6997335880411396
Corrected formulas / controls,manual_600us,44,4096,3655,0.892333984375,0.882471412102709,0.9014613404882891,0.6910312319209039
Corrected formulas / controls,manual_600us,45,4096,3632,0.88671875,0.8766481917015035,0.8960646148349874,0.6829493785903379
Corrected formulas / controls,manual_600us,46,4096,3605,0.880126953125,0.8698218505154235,0.889719715000559,0.6748904746341782
Corrected formulas / controls,manual_600us,47,4096,3579,0.873779296875,0.863257496456122,0.8836006517808525,0.6668315706780185
Corrected formulas / controls,manual_600us,48,4096,3535,0.863037109375,0.8521674580739187,0.8732264455370422,0.6587726667218587
Corrected formulas / controls,manual_600us,49,4096,3514,0.85791015625,0.8468822673682886,0.8682673376711657,0.6507137627656991
Corrected formulas / controls,manual_600us,50,4096,3486,0.85107421875,0.8398426474121886,0.861647892865257,0.6432418579520525
Corrected formulas / controls,manual_600us,51,4096,3460,0.8447265625,0.8333129502985477,0.8554941726998899,0.6358297761184506
Corrected formulas / controls,manual_600us,52,4096,3428,0.8369140625,0.8252852616570167,0.847911501613411,0.6284176942848487
Corrected formulas / controls,manual_600us,53,4096,3398,0.82958984375,0.8177677129585759,0.8407943380668426,0.6210056124512469
Corrected formulas / controls,manual_600us,54,4096,3357,0.819580078125,0.8075061249499628,0.831055152673943,0.613593530617645
Corrected formulas / controls,manual_600us,55,4096,3325,0.811767578125,0.7995064825045964,0.8234444353912994,0.6067210232821612
Corrected formulas / controls,manual_600us,56,4096,3282,0.80126953125,0.7887691944326741,0.8132053025787084,0.5999432193778713
Corrected formulas / controls,manual_600us,57,4096,3241,0.791259765625,0.7785436738827836,0.8034300497270863,0.5931654154735814
Corrected formulas / controls,manual_600us,58,4096,3198,0.78076171875,0.7678315954900599,0.7931657072352967,0.5863876115692915
Corrected formulas / controls,manual_600us,59,4096,3169,0.773681640625,0.7606139243826091,0.7862364898392384,0.5796098076650016
Corrected formulas / controls,manual_600us,60,4096,3121,0.761962890625,0.7486788430446075,0.774756031585225,0.5730638864114106
Joint model,manual_600us,0,8192,8192,1.0,0.9995312917117791,1.0,
Joint model,manual_600us,1,8192,8157,0.9957275390625,0.9940641146570153,0.9969262602554687,
Joint model,manual_600us,2,8192,8101,0.9888916015625,0.9863818247079311,0.990943083325681,
Joint model,manual_600us,3,8192,8078,0.986083984375,0.9833098434607639,0.98840246210474,
Joint model,manual_600us,4,8192,8021,0.9791259765625,0.9757981769974857,0.9820046354948806,
Joint model,manual_600us,5,8192,7984,0.974609375,0.9709739884249091,0.9777998548796312,0.9823635824886283
Joint model,manual_600us,6,8192,7931,0.9681396484375,0.9641116084577119,0.971728846550753,0.9806852336457315
Joint model,manual_600us,7,8192,7892,0.96337890625,0.9590894698350327,0.967233963597075,0.9790068848028346
Joint model,manual_600us,8,8192,7826,0.955322265625,0.9506310424549985,0.9595866621555814,0.9773285359599378
Joint model,manual_600us,9,8192,7776,0.94921875,0.9442503354807397,0.9537660594165618,0.975650187117041
Joint model,manual_600us,10,8192,7714,0.941650390625,0.9363644095067715,0.9465223613460646,0.9729011606917161
Joint model,manual_600us,11,8192,7674,0.936767578125,0.9312897775871168,0.9418359454950963,0.9697618094466128
