waveform,n,survivors,q10_uK,q50_uK,q90_uK,mean_uK
manual_400us,44,5326,22.669082043037612,59.68215397958082,103.71314093602453,61.61791478247395
manual_400us,46,5168,22.782822133962387,59.20156296367797,102.857166755185,61.40911492953688
manual_400us,48,5057,22.991709476000725,59.44116228653086,104.64708554271841,61.899968587060386
manual_400us,50,4926,23.343104316994697,59.8140044827238,105.50192132996389,62.212910690711276
manual_400us,52,4781,23.117571903462544,59.871927614889515,105.06429742400736,62.00393538429806
manual_400us,54,4654,22.852951685714764,59.91299913827585,105.36594612386031,62.0300488088347
manual_400us,56,4534,23.167943006036577,60.3177593446191,105.82193963198769,62.36506732430345
manual_400us,58,4388,22.79456378902435,59.517001334681524,104.85239676056746,61.92438959400391
manual_400us,60,4260,22.92518125891272,60.41662585153591,104.72391257844954,61.88870619203865
manual_600us,0,8192,20.04575233480981,46.054632288678505,85.35303832405384,49.96951660262401
manual_600us,2,8101,20.168850101366296,46.76939812464816,87.2853891041684,50.933065607131255
manual_600us,4,8021,20.547832787980962,47.99204658080094,89.93977544816099,52.03650205789748
manual_600us,6,7931,20.721180466615305,48.90430987602216,91.57611166099343,52.95370888639282
manual_600us,8,7826,20.97741475173783,49.949244269417804,92.55628366907831,53.87916032829138
manual_600us,10,7714,21.163809632540563,50.61454839466509,93.22897710306852,54.68028880164725
manual_600us,12,7618,21.288081478798834,51.915856095390744,95.39116392014557,55.635769374688394
manual_600us,14,7521,21.725832104748036,52.97900130135348,96.67484584679809,56.607317124816014
manual_600us,16,7392,22.059780266014016,53.501944220447044,97.69585602261863,57.39065458715707
manual_600us,18,7261,22.742712250997688,54.401031416454614,98.50786904853707,57.955792574644036
manual_600us,20,7118,22.69980770260253,54.6788760574005,99.80321130436171,58.53841612387771
manual_600us,22,6998,23.036310489827983,56.02218036431801,101.08202603208622,59.344136088404426
manual_600us,24,6866,23.38461950075235,56.35755501710198,102.41086791495327,60.0508100387945
manual_600us,26,6703,23.663995535353763,57.02409186588178,102.1845511501789,60.46670211503696
manual_600us,28,6560,24.08659616524482,57.7945273493893,103.62575129992017,61.06240055919219
manual_600us,30,6425,24.398004472883603,58.34435666373168,104.03590228613886,61.4859265755717
manual_600us,32,6265,24.3942391316754,58.64506014707765,104.14141270165426,61.78057898325778
manual_600us,34,6097,24.680567592369176,58.846345850805825,103.88821062361174,61.776273833300515
manual_600us,36,5939,24.499574213305472,59.057134439370216,103.9881391234716,61.909336670430044
manual_600us,38,5798,24.778438379573743,59.55454592563841,103.28640005868232,62.30872377179321
manual_600us,40,5654,24.90310907865986,60.12191754434768,104.49269915231207,62.501640496149996
