case,waveform,shots,temperature,rin,rmse_pp,early_bias_pp,late_bias_pp,s2,s10,s30,s60
aod_T10_R6e-09,manual_200us,256,10,6e-09,13.050499748697982,9.954674340592062,18.10706841719425,1.0,0.90625,0.5234375,0.26171875
aod_T10_R6e-09,manual_400us,256,10,6e-09,21.57920899288419,6.685000315737809,32.31282647266471,1.0,1.0,0.94921875,0.765625
aod_T10_R6e-09,manual_600us,256,10,6e-09,10.365398493972796,3.055464290943734,15.720654727912692,1.0,0.99609375,0.9453125,0.73046875
aod_T10_R6e-09,ml_400us,256,10,6e-09,10.691853165695427,2.7251910002590125,15.685578856281335,1.0,1.0,0.98046875,0.875
aod_T10_R1e-08,manual_200us,256,10,1e-08,11.106779870797887,8.65259100725873,15.763318417194249,1.0,0.875,0.5,0.1875
aod_T10_R1e-08,manual_400us,256,10,1e-08,15.365717085289981,6.880312815737809,21.570638972664707,1.0,0.99609375,0.91796875,0.578125
aod_T10_R1e-08,manual_600us,256,10,1e-08,2.7309105691302222,2.1440059576104007,1.6581547279126918,1.0,0.984375,0.85546875,0.546875
aod_T10_R1e-08,ml_400us,256,10,1e-08,1.8330425582219094,1.2928993335923455,2.2090163562813347,1.0,0.98828125,0.90625,0.69140625
aod_T15_R0,manual_200us,256,15,0,7.4467189310605075,5.136966007258729,9.903943417194249,0.99609375,0.83203125,0.44140625,0.23828125
aod_T15_R0,manual_400us,256,15,0,25.37560419427444,6.619896149071142,37.87923272266471,0.99609375,0.99609375,0.953125,0.89453125
aod_T15_R0,manual_600us,256,15,0,19.043029347954466,3.1205684576104007,28.51362347791269,1.0,0.9921875,0.98046875,0.96484375
aod_T15_R0,ml_400us,256,15,0,13.584633493020876,2.0741493335923455,19.591828856281335,1.0,0.9921875,0.98046875,0.96875
aod_T15_R1e-09,manual_200us,256,15,1e-09,8.389296256894841,5.918216007258729,9.903943417194249,0.9921875,0.85546875,0.44140625,0.1953125
aod_T15_R1e-09,manual_400us,256,15,1e-09,24.11148901606732,6.359479482404475,36.02376397266471,0.99609375,0.98828125,0.953125,0.87109375
aod_T15_R1e-09,manual_600us,256,15,1e-09,17.825832472044986,3.3158809576104007,26.65815472791269,1.0,0.9921875,0.9765625,0.9375
aod_T15_R1e-09,ml_400us,256,15,1e-09,12.46435524387723,2.0741493335923455,17.834016356281335,1.0,0.9921875,0.96875,0.9453125
