group,waveform,n,experiment,mc,residual_pp,paper_error_lower,paper_error_upper
Corrected formulas / controls,manual_600us,50,0.6501860043164485,0.85107421875,20.088821443355155,0.6409419529827538,0.6594721697792265
Corrected formulas / controls,manual_600us,60,0.5732224334174583,0.761962890625,18.874045720754175,0.5636063739435313,0.5828384928913866
Joint model,manual_600us,2,0.9857794609350082,0.9888916015625,0.3112140627491766,0.9834982789430178,0.988074680970026
Joint model,manual_600us,4,0.9865304962369863,0.9791259765625,-0.7404519674486298,0.9842844093525658,0.9887204309492977
Joint model,manual_600us,8,0.9817294855215358,0.955322265625,-2.6407219896535827,0.9791043714753693,0.9843405615246765
Joint model,manual_600us,12,0.9576402036861207,0.929931640625,-2.7708563061120683,0.9537376277244388,0.9615287416047753
Joint model,manual_600us,16,0.9446550138855614,0.90234375,-4.231126388556139,0.9402189922888302,0.9490910354822926
Joint model,manual_600us,20,0.9134624822781635,0.868896484375,-4.456599790316352,0.9080718737555544,0.9188530908007743
Joint model,manual_600us,30,0.8154629039022685,0.7843017578125,-3.11611460897685,0.80786832262432,0.8230855612662735
Joint model,manual_600us,40,0.7268337192473171,0.690185546875,-3.66481723723171,0.718123113548671,0.7355443249459617
Joint model,manual_600us,50,0.6501860043164485,0.6051025390625,-4.508346525394846,0.6409419529827538,0.6594721697792265
Joint model,manual_600us,60,0.5732224334174583,0.5267333984375,-4.648903497995827,0.5636063739435313,0.5828384928913866
Baseline,ml_400us,2,0.9899978928648115,0.99609375,0.6095857135188454,0.988074680970026,0.9919912949747351
Baseline,ml_400us,4,0.9896329037460929,0.994384765625,0.4751861878907082,0.9876535396791974,0.9915982297699628
Baseline,ml_400us,8,0.9820383224681444,0.992919921875,1.0881599406855624,0.979483398637116,0.9846213223852289
Baseline,ml_400us,12,0.9717343988858622,0.991455078125,1.9720679239137784,0.9684775729034529,0.9749491107391897
Baseline,ml_400us,16,0.9588053612574146,0.989990234375,3.1184873117585443,0.9549729755108716,0.9626517850469848
Baseline,ml_400us,20,0.9403734107621337,0.987548828125,4.717541736286634,0.9357829706920981,0.9449778888751981
Baseline,ml_400us,30,0.8987365751421792,0.98046875,8.17321748578208,0.8929529014147952,0.9045342869125904
Baseline,ml_400us,40,0.8153505995580479,0.97509765625,15.97470566919521,0.8078121704522092,0.8229171047499411
Baseline,ml_400us,50,0.7412016562860975,0.9638671875,22.266553121390253,0.7328209445986016,0.7496385201457039
Baseline,ml_400us,60,0.663381764762422,0.954833984375,29.145221961257796,0.6543482840741408,0.6724152454507031
Corrected formulas / controls,ml_400us,2,0.9899978928648115,0.99609375,0.6095857135188454,0.988074680970026,0.9919912949747351
Corrected formulas / controls,ml_400us,4,0.9896329037460929,0.994384765625,0.4751861878907082,0.9876535396791974,0.9915982297699628
Corrected formulas / controls,ml_400us,8,0.9820383224681444,0.990966796875,0.8928474406855624,0.979483398637116,0.9846213223852289
Corrected formulas / controls,ml_400us,12,0.9717343988858622,0.987060546875,1.5326147989137784,0.9684775729034529,0.9749491107391897
