class,condition,energy_uK,shot_id,time_us,vx_m_s,vy_m_s,vz_m_s,w_total_uK,x_um,y_um,z_um
success,stress_diagnostic_50uK,1831.058306842978,2,3600.6,-0.37559980677857707,-0.31351453095154275,0.008179615569646055,1853.7460036624175,126.54967938286309,127.15974712335617,-10.095323240048115
success,stress_diagnostic_50uK,1849.335104413734,2,3601.1,-0.376133671745404,-0.31611272940605156,0.008542023644602431,1872.0227823499736,126.3617446487344,127.00234134577899,-10.09114175064453
success,stress_diagnostic_50uK,1867.554136062822,2,3601.6,-0.3766374669872046,-0.3187314677125745,0.00888116312249048,1890.2417986644223,126.1735505227669,126.84363111187236,-10.086784939541285
success,stress_diagnostic_50uK,1885.6918335646162,2,3602.1,-0.3771117447168709,-0.32136615631784654,0.009198492748238531,1908.3794839586778,125.98511190490476,126.68360733009054,-10.082264077156408
success,stress_diagnostic_50uK,1903.7288836833613,2,3602.5999999999995,-0.3775571158924431,-0.32401287486292674,0.009495481180853233,1926.4165245809704,125.79644340332996,126.52226303458221,-10.077589701356858
success,stress_diagnostic_50uK,1921.6498648028232,2,3603.1,-0.37797422976375294,-0.326668330629768,0.009773592968087887,1944.337498514205,125.60755931030117,126.35959306081946,-10.072771616144363
success,stress_diagnostic_50uK,1939.4428799178022,2,3603.6,-0.378363755586205,-0.3293298141730192,0.010034277437239062,1962.1305083745256,125.41847358767578,126.19559374277638,-10.067818896614044
success,stress_diagnostic_50uK,1957.0991937373494,2,3604.1,-0.37872636642729124,-0.3319951535379513,0.010278960247097011,1979.7868185191126,125.22919986104736,126.03026263270233,-10.06273989879035
success,stress_diagnostic_50uK,1974.6128797332456,2,3604.6,-0.37906272494384924,-0.3346626681855579,0.010509037328537635,1997.3005020974504,125.03975142148053,125.86359824390348,-10.057542273077436
success,stress_diagnostic_50uK,1991.980481272995,2,3605.1,-0.37937347097581586,-0.3373311234883547,0.010725870938358252,2014.6681021854604,124.85014123389585,125.69559981645259,-10.052232980198623
success,stress_diagnostic_50uK,2009.2006895137777,2,3605.6,-0.3796592107827545,-0.33999968642972866,0.010930787558981532,2031.8883096795585,124.66038195123905,125.52626710537395,-10.046818308635787
success,stress_diagnostic_50uK,2026.2740395006808,2,3606.0999999999995,-0.3799205077403427,-0.3426678829376622,0.011125077392295154,2048.9616593941114,124.47048593365864,125.3556001905852,-10.04130389270941
success,stress_diagnostic_50uK,2043.2026248932066,2,3606.6,-0.3801578743130671,-0.34533555711006036,0.011309995216411193,2065.890244786587,124.28046527200793,125.18359930770725,-10.035694730561124
success,stress_diagnostic_50uK,2059.9898309183336,2,3607.1,-0.3803717651246632,-0.34800283244212465,0.011486762397271926,2082.6774509090446,124.09033181507863,125.01026469876336,-10.029995201410332
success,stress_diagnostic_50uK,2076.6400844926156,2,3607.6,-0.38056257095774193,-0.3506700750437573,0.011656569871036821,2099.3277045284694,123.90009720005948,124.83559648176367,-10.024209081554558
success,stress_diagnostic_50uK,2093.1586199439316,2,3608.1,-0.3807306135272628,-0.3533378587338735,0.011820581936702707,2115.8462398467573,123.70977288579489,124.65959453820531,-10.018339558669386
success,stress_diagnostic_50uK,2109.551258372148,2,3608.6,-0.3808761408880585,-0.3560069318156287,0.011979940720429322,2132.2388778598447,123.51937018849267,124.48225841759385,-10.012389244038339
success,stress_diagnostic_50uK,2125.824198395182,2,3609.0999999999995,-0.38099932335375764,-0.3586781852688767,0.012135771192827778,2148.511817102451,123.32890031959481,124.30358725821048,-10.006360182407454
success,stress_diagnostic_50uK,2141.983815812801,2,3609.6,-0.3811002498227392,-0.3613526220408364,0.012289186637486533,2164.671433310813,123.13837442558278,124.12357972349224,-10.000253859214148
success,stress_diagnostic_50uK,2158.036469569089,2,3610.1,-0.38117892442589957,-0.36403132707048463,0.01244129448287761,2180.724085384666,122.9478036295362,123.94223395356677,-9.994071204987295
success,stress_diagnostic_50uK,2173.988311294485,2,3610.6,-0.3812352634309673,-0.36671543764454606,0.012593202420206673,2196.6759249290108,122.7571990743007,123.75954753167251,-9.987812596756557
success,stress_diagnostic_50uK,2189.8450956483107,2,3611.1,-0.38126909235891104,-0.36940611365154574,0.012746024736509168,2212.532706597029,122.5665719671493,123.57551746540688,-9.981477856345897
success,stress_diagnostic_50uK,2205.611988660746,2,3611.6,-0.381280143289864,-0.37210450727416255,0.012900888795124603,2228.2995964328566,122.37593362583777,123.39014018296612,-9.975066245460653
success,stress_diagnostic_50uK,2221.2933712853724,2,3612.1,-0.38126805235921024,-0.3748117316386002,0.013058941594378008,2243.9809754255402,122.18529552595984,123.20341154477802,-9.968576457511602
success,stress_diagnostic_50uK,2236.892635424491,2,3612.5999999999995,-0.38123235746941964,-0.3775288279230052,0.01322135632960765,2259.580235536314,121.99466934950225,123.01532687117228,-9.96200660615532
success,stress_diagnostic_50uK,2252.4119697852493,2,3613.1,-0.38117249627026506,-0.38025673041593167,0.013389338873332204,2275.0995655572287,121.8040670344799,122.82588098698596,-9.955354210569816
success,stress_diagnostic_50uK,2267.852133077034,2,3613.6,-0.38108780448963375,-0.3829962290120555,0.013564134073051211,2290.53972431174,121.61350082549758,122.63506828425778,-9.948616177530763
success,stress_diagnostic_50uK,2283.2122122862284,2,3614.1,-0.3809775147296299,-0.3857479286381763,0.013747031745628812,2305.8997989330906,121.42298332503582,122.44288280441909,-9.941788780408675
success,stress_diagnostic_50uK,2298.4893640828864,2,3614.6,-0.3808407558783553,-0.3885122051213551,0.013939372221165324,2321.176946275231,121.23252754519255,122.24931834164005,-9.934867635274264
success,stress_diagnostic_50uK,2313.678537852925,2,3615.1,-0.38067655332682054,-0.39128915704715034,0.014142551257542428,2336.366115949579,121.04214695952695,122.0543685692252,-9.927847674380306
success,stress_diagnostic_50uK,2328.7721794381196,2,3615.5999999999995,-0.38048383022279403,-0.3940785532147632,0.01435802410943361,2351.459754069931,120.85185555454694,121.85802719116452,-9.920723117387013
success,stress_diagnostic_50uK,2343.7599154414543,2,3616.1,-0.38026141003866665,-0.3968797753840021,0.014587308492760761,2366.4474875627166,120.66166788025507,121.66028812112272,-9.913487440816313
success,stress_diagnostic_50uK,2358.6282189547046,2,3616.6,-0.3800080207777341,-0.3996917561339309,0.014831986138010712,2381.315789899347,120.47159909901617,121.46114569127238,-9.906133346361795
success,stress_diagnostic_50uK,2373.360058830497,2,3617.1,-0.37972230119124106,-0.40251291182337295,0.015093702574717056,2396.0476303722594,120.28166503183728,121.26059489342676,-9.898652728846894
success,stress_diagnostic_50uK,2387.9345361904525,2,3617.6,-0.3794028094248778,-0.40534107086821464,0.015374164736735637,2410.6221106059543,120.09188220095137,121.05863165487835,-9.891036644816003
success,stress_diagnostic_50uK,2402.326513770473,2,3618.1,-0.37904803455501207,-0.40817339783883927,0.01567513592663115,2425.0140939032103,119.90226786737696,120.8552531511741,-9.883275282961302
success,stress_diagnostic_50uK,2416.506245975157,2,3618.6,-0.3786564115074957,-0.4110063142413973,0.015998427631680547,2439.193835297821,119.71284006188678,120.65045815771889,-9.875357937830756
success,stress_diagnostic_50uK,2430.439020151466,2,3619.0999999999995,-0.3782263398698682,-0.41383541728533124,0.016345887649221028,2453.1266228228433,119.52361760756666,120.44424744156174,-9.867272988525798
success,stress_diagnostic_50uK,2444.0848225709688,2,3619.6,-0.37775620710428315,-0.4166553984593375,0.01671938396242676,2466.772443482608,119.33462013189065,120.23662419394068,-9.859007884373561
