a1_m_s2,a2_m_s2,c1_um,c2_um,d_aod_uK,d_slm_uK,dd_mode,protocol,pulse_marker,segment,time_us,toggling_y,v1_m_s,v2_m_s,zs1_um,zs2_um
554.8419767811354,554.8419767811354,71.99622054173294,71.99622054173294,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1896.0,1.0,0.31343736847997017,0.31343736847997017,4.73941844594016,4.73941844594016
553.6148736485954,553.6148736485954,72.15300853011784,72.15300853011784,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1896.5,1.0,0.31371448280098063,0.31371448280098063,4.743608631465901,4.743608631465901
552.3851717252566,552.3851717252566,72.30993492216696,72.30993492216696,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1896.9999999999998,1.0,0.3139909829204868,0.3139909829204868,4.747789529783953,4.747789529783953
551.1528767836105,551.1528767836105,72.46699941045503,72.46699941045503,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1897.4999999999998,1.0,0.3142668675405361,0.3142668675405361,4.751961121268254,4.751961121268254
549.9179946083234,549.9179946083234,72.62420168690842,72.62420168690842,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1898.0,1.0,0.31454213536606485,0.31454213536606485,4.756123386336429,4.756123386336429
548.6805309962057,548.6805309962057,72.78154144280667,72.78154144280667,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1898.5,1.0,0.3148167851049049,0.3148167851049049,4.760276305449882,4.760276305449882
547.4404917561859,547.4404917561859,72.93901836878395,72.93901836878395,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1898.9999999999998,1.0,0.31509081546778955,0.31509081546778955,4.764419859113893,4.764419859113893
546.1978827092814,546.1978827092814,73.09663215483071,73.09663215483071,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1899.5,1.0,0.31536422516835994,0.31536422516835994,4.768554027877708,4.768554027877708
544.9527096885754,544.9527096885754,73.25438249029473,73.25438249029473,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1900.0,1.0,0.3156370129231699,0.3156370129231699,4.772678792334617,4.772678792334617
543.7049785391864,543.7049785391864,73.41226906388277,73.41226906388277,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1900.4999999999998,1.0,0.31590917745169356,0.31590917745169356,4.7767941331220625,4.7767941331220625
542.4546951182388,542.4546951182388,73.5702915636624,73.5702915636624,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1901.0,1.0,0.31618071747633036,0.31618071747633036,4.780900030921728,4.780900030921728
541.2018652948404,541.2018652948404,73.72844967706274,73.72844967706274,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1901.5,1.0,0.3164516317224114,0.3164516317224114,4.78499646645962,4.78499646645962
539.9464949500533,539.9464949500533,73.88674309087638,73.88674309087638,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1901.9999999999998,1.0,0.3167219189182049,0.3167219189182049,4.789083420506157,4.789083420506157
