time_s,time_us,position_m,displacement_from_center_m,position_um,velocity_m_per_s,acceleration_m_per_s2,kinetic_energy_J,potential_energy_J,total_energy_J,energy_error_J,energy_error_over_depth,abs_energy_error_over_depth
0.0006160499999999999,616.05,1.1636564722356523e-07,1.1636564722356523e-07,0.11636564722356522,-0.0027253778815625298,-5839.430826658867,8.196252950586361e-31,-3.790088540668716e-27,-3.7892689153736574e-27,-2.468722238198008e-35,-6.386029422700091e-09,6.386029422700091e-09
0.0006161,616.0999999999999,1.1622207904095378e-07,1.1622207904095378e-07,0.11622207904095377,-0.003017176423940164,-5832.510868446509,1.0045309222126859e-30,-3.790273451869045e-27,-3.789268920946833e-27,-3.0260397937036827e-35,-7.827684645056893e-09,7.827684645056893e-09
0.00061615,616.15,1.1606392958117122e-07,1.1606392958117122e-07,0.11606392958117122,-0.003308611367946122,-5824.8868917917935,1.207962394263355e-30,-3.7904768894742645e-27,-3.789268927080001e-27,-3.639356625865022e-35,-9.414197406605316e-09,9.414197406605316e-09
0.0006162,616.2,1.1589121790415917e-07,1.1589121790415917e-07,0.11589121790415917,-0.003599647526954791,-5816.559468554981,1.4298216000856131e-30,-3.7906987553707526e-27,-3.789268933770667e-27,-4.308423200419809e-35,-1.1144922218308227e-08,1.1144922218308227e-08
0.0006162499999999999,616.2499999999999,1.1570396482847574e-07,1.1570396482847574e-07,0.11570396482847574,-0.0038902497442927734,-5807.529224964311,1.6700015134736606e-30,-3.7909389425295746e-27,-3.789268941016101e-27,-5.0329665937529e-35,-1.3019153088130759e-08,1.3019153088130759e-08
0.0006163,616.3,1.155021929297299e-07,1.155021929297299e-07,0.11550219292972991,-0.00418038289596663,-5797.796841989956,1.9283862375807052e-30,-3.791197335050925e-27,-3.789268948813344e-27,-5.812690923375109e-35,-1.5036124634592422e-08,1.5036124634592422e-08
0.00061635,616.35,1.1528592653887909e-07,1.1528592653887909e-07,0.11528592653887909,-0.0044700118934100684,-5787.363055747578,2.204851053106477e-30,-3.791473808212315e-27,-3.789268957159209e-27,-6.647277419669696e-35,-1.719501227235912e-08,1.719501227235912e-08
0.0006164,616.4,1.150551917403889e-07,1.150551917403889e-07,0.1150551917403889,-0.00475910168625203,-5776.228657930882,2.499262470227743e-30,-3.791768228520503e-27,-3.789268966050275e-27,-7.536383995413471e-35,-1.949493109869104e-08,1.949493109869104e-08
0.0006164499999999999,616.4499999999999,1.1481001637025389e-07,1.1481001637025389e-07,0.11481001637025388,-0.005047617265107119,-5764.394496272685,2.8114782842665957e-30,-3.79208045376716e-27,-3.789268975482894e-27,-8.479645891495132e-35,-2.193493756377082e-08,2.193493756377082e-08
0.0006165,616.5,1.1455043001387819e-07,1.1455043001387819e-07,0.11455043001387819,-0.005335523664389783,-5751.861475033843,3.1413476350906725e-30,-3.792410333088275e-27,-3.7892689854531846e-27,-9.47667495945045e-35,-2.4514027614783365e-08,2.4514027614783365e-08
0.00061655,616.55,1.142764640038149e-07,1.142764640038149e-07,0.1142764640038149,-0.005622785965153616,-5738.630555519482,3.4887110702389224e-30,-3.792757707027278e-27,-3.7892689959570395e-27,-1.052706045067356e-34,-2.723113873742804e-08,2.723113873742804e-08
0.0006166,616.6,1.1398815141736283e-07,1.1398815141736283e-07,0.11398815141736282,-0.005909369297957147,-5724.702756621776,3.8534006117658684e-30,-3.793122407601887e-27,-3.7892690069901216e-27,-1.163036865768456e-34,-3.008514902795859e-08,3.008514902795859e-08
0.0006166499999999999,616.65,1.136855270740192e-07,1.136855270740192e-07,0.1136855270740192,-0.006195238845757407,-5710.079155388635,4.2352398267966284e-30,-3.79350425837466e-27,-3.7892690185478634e-27,-1.2786142842383028e-34,-3.307487700759112e-08,3.307487700759112e-08
0.0006167,616.6999999999999,1.133686275327871e-07,1.133686275327871e-07,0.11336862753278709,-0.006480359846832561,-5694.760887617528,4.634043901784282e-30,-3.7939030745272545e-27,-3.78926903062547e-27,-1.3993903523033944e-34,-3.619908236487216e-08,3.619908236487216e-08
0.00061675,616.75,1.1303749108933595e-07,1.1303749108933595e-07,0.11303749108933595,-0.006764697597734841,-5678.749148473671,5.049619720460348e-30,-3.794318662938379e-27,-3.789269043217919e-27,-1.5253148402521214e-34,-3.9456465770086633e-08,3.9456465770086633e-08
0.0006167999999999999,616.8,1.1269215777301361e-07,1.1269215777301361e-07,0.11269215777301361,-0.007048217456274977,-5662.045193131758,5.481765945468387e-30,-3.794750822265428e-27,-3.7892690563199594e-27,-1.6563352440094146e-34,-4.284566906084992e-08,4.284566906084992e-08
0.00061685,616.8499999999999,1.1233266934370844e-07,1.1233266934370844e-07,0.11233266934370845,-0.007330884844539281,-5644.6503374403965,5.930273103669822e-30,-3.7951993430297826e-27,-3.789269069926113e-27,-1.7923967779620973e-34,-4.6365275056515795e-08,4.6365275056515795e-08
0.0006169,616.9,1.1195906928855968e-07,1.1195906928855968e-07,0.11195906928855968,-0.007612665251940499,-5626.565958608349,6.394923675110236e-30,-3.7956640077057865e-27,-3.789269084030676e-27,-1.9334424108321257e-34,-5.001380848613654e-08,5.001380848613654e-08
0.00061695,616.95,1.115714028185144e-07,1.115714028185144e-07,0.1115714028185144,-0.0078935242383035,-5607.793495911686,6.875492185633382e-30,-3.796144590813354e-27,-3.78926909862772e-27,-2.079412851327293e-34,-5.378973561727888e-08,5.378973561727888e-08
0.0006169999999999999,616.9999999999999,1.1116971686472933e-07,1.1116971686472933e-07,0.11116971686472933,-0.008173427436986812,-5588.334451420851,7.371745303129178e-30,-3.796640859014219e-27,-3.78926911371109e-27,-2.2302465481412286e-34,-5.7691464256024026e-08,5.7691464256024026e-08
0.00061705,617.05,1.1075406007481571e-07,1.1075406007481571e-07,0.11075406007481571,-0.008452340558041001,-5568.190390746735,7.883441937400859e-30,-3.797152571211807e-27,-3.789269129274406e-27,-2.3858797114773437e-34,-6.17173443037437e-08,6.17173443037437e-08
0.0006171,617.1,1.1032448280892523e-07,1.1032448280892523e-07,0.11032448280892523,-0.008730229391404786,-5547.362943804635,8.410333343635389e-30,-3.797679478654701e-27,-3.7892691453110656e-27,-2.546246305874182e-34,-6.58656675715081e-08,6.58656675715081e-08
0.00061715,617.15,1.0988103713567523e-07,1.0988103713567523e-07,0.10988103713567522,-0.009007059810139781,-5525.853805595163,8.952163229460012e-30,-3.798221325043705e-27,-3.789269161814245e-27,-2.7112781004279574e-34,-7.013466907923007e-08,7.013466907923007e-08
0.0006171999999999999,617.1999999999999,1.0942377682791124e-07,1.0942377682791124e-07,0.10942377682791124,-0.009282797773704684,-5503.664737000939,9.508667865566631e-30,-3.7987778466424634e-27,-3.789269178776897e-27,-2.880904618570017e-34,-7.452252575652096e-08,7.452252575652096e-08
0.00061725,617.25,1.0895275735830476e-07,1.0895275735830476e-07,0.10895275735830476,-0.009557409331269659,-5480.797565598014,1.0079576199884429e-29,-3.7993487723916384e-27,-3.789269196191754e-27,-3.055053188289377e-34,-7.90273577418347e-08,7.90273577418347e-08
0.0006173,617.3,1.0846803589478428e-07,1.0846803589478428e-07,0.10846803589478428,-0.00983086062507163,-5457.254186480861,1.0664609975279728e-29,-3.799933824026611e-27,-3.7892692140513314e-27,-3.2336489636566696e-34,-8.364722893924395e-08,8.364722893924395e-08
0.00061735,617.35,1.079696712957976e-07,1.079696712957976e-07,0.1079696712957976,-0.010103117893811147,-5433.0365630997785,1.1263483850760817e-29,-3.800532716198684e-27,-3.789269232347923e-27,-3.416614881776251e-34,-8.838014590488788e-08,8.838014590488788e-08
0.0006173999999999999,617.4,1.0745772410540317e-07,1.0745772410540317e-07,0.10745772410540316,-0.01037414747609138,-5408.146728109531,1.1875905526163866e-29,-3.801145156599774e-27,-3.78926925107361e-27,-3.603871748881981e-34,-9.322406007407648e-08,9.322406007407648e-08
0.00061745,617.4499999999999,1.0693225654818846e-07,1.0693225654818846e-07,0.10693225654818846,-0.010643915813899818,-5382.5867842279795,1.2501575870294691e-29,-3.8017708460905485e-27,-3.789269270220254e-27,-3.7953381901146865e-34,-9.81768664621464e-08,9.81768664621464e-08
0.0006175,617.5,1.0639333252401318e-07,1.0639333252401318e-07,0.10639333252401317,-0.010912389456133105,-5356.358905103486,1.314018905249942e-29,-3.802409478832006e-27,-3.789269289779507e-27,-3.990930721268641e-34,-1.0323640552038108e-07,1.0323640552038108e-07
0.00061755,617.5500000000001,1.0584101760257515e-07,1.0584101760257515e-07,0.10584101760257515,-0.011179535062165439,-5329.465336189824,1.379143267763558e-29,-3.8030607424204404e-27,-3.789269309742805e-27,-4.190563698569029e-34,-1.0840046183686671e-07,1.0840046183686671e-07
0.0006175999999999999,617.5999999999999,1.0527537901779663e-07,1.0527537901779663e-07,0.10527537901779663,-0.011445319405460867,-5301.908395627291,1.445498792441337e-29,-3.80372431802579e-27,-3.789269330101377e-27,-4.3941494191170195e-34,-1.1366676673478043e-07,1.1366676673478043e-07
0.00061765,617.65,1.0469648566202905e-07,1.0469648566202905e-07,0.10469648566202905,-0.011709709377229767,-5273.690475128742,1.5130529687075225e-29,-3.804399880533316e-27,-3.7892693508462406e-27,-4.601598056317933e-34,-1.1903299660206214e-07,1.1903299660206214e-07
0.0006177,617.7,1.0410440808007365e-07,1.0410440808007365e-07,0.10410440808007365,-0.011972671990129715,-5244.814040869191,1.581772672037987e-29,-3.80508709868859e-27,-3.78926937196821e-27,-4.812817753151668e-34,-1.2449677530411083e-07,1.2449677530411083e-07
0.0006177499999999999,617.7499999999999,1.0349921846301607e-07,1.0349921846301607e-07,0.10349921846301607,-0.012234174382010885,-5215.281634377628,1.6516241787855273e-29,-3.805785635245748e-27,-3.789269393457893e-27,-5.027714579124809e-34,-1.3005567307023233e-07,1.3005567307023233e-07
0.0006178,617.8,1.0288099064187255e-07,1.0288099064187255e-07,0.10288099064187255,-0.01249418381970607,-5185.09587342972,1.7225731813283047e-29,-3.806495147118979e-27,-3.789269415305696e-27,-5.246192609191761e-34,-1.3570720853515168e-07,1.3570720853515168e-07
0.00061785,617.85,1.0224980008104546e-07,1.0224980008104546e-07,0.10224980008104546,-0.012752667702865312,-5154.2594529399685,1.7945848035374706e-29,-3.8072152855372e-27,-3.789269437501825e-27,-5.4681539022308e-34,-1.4144884818223688e-07,1.4144884818223688e-07
0.0006179,617.9,1.0160572387158601e-07,1.0160572387158601e-07,0.10160572387158602,-0.013009593567835109,-5122.77514585195,1.8676236165598428e-29,-3.807945696201888e-27,-3.7892694600362894e-27,-5.693498544091966e-34,-1.4727800745705117e-07,1.4727800745705117e-07
0.0006179499999999999,617.9499999999999,1.0094884072426194e-07,1.0094884072426194e-07,0.10094884072426194,-0.013264929091582037,-5090.645804025217,1.9416536549112646e-29,-3.808686019448016e-27,-3.789269482898903e-27,-5.922124683470301e-34,-1.53192051695313e-07,1.53192051695313e-07
0.000618,618.0,1.002792309624278e-07,1.002792309624278e-07,0.1002792309624278,-0.013518642095660604,-5057.874359117441,2.0166384328760873e-29,-3.80943589040805e-27,-3.789269506079289e-27,-6.1539285390804985e-34,-1.5918829630848813e-07,1.5918829630848813e-07
0.00061805,618.05,9.959697651469587e-08,9.959697651469587e-08,0.09959697651469587,-0.013770700550225048,-5024.463823460345,2.092540961207991e-29,-3.8101949391789604e-27,-3.789269529566881e-27,-6.388804457054088e-34,-1.6526400826852572e-07,1.6526400826852572e-07
0.0006181,618.1,9.890216090740529e-08,9.890216090740529e-08,0.09890216090740529,-0.014021072578084756,-4990.417290927995,2.1693237641271363e-29,-3.810962790992197e-27,-3.7892695533509254e-27,-6.626644903764787e-34,-1.7141640592226627e-07,1.7141640592226627e-07
0.0006181499999999999,618.15,9.81948692568874e-08,9.81948692568874e-08,0.0981948692568874,-0.014269726458802855,-4955.737937795973,2.2469488966084223e-29,-3.811739066386574e-27,-3.7892695774204895e-27,-6.867340544749631e-34,-1.7764266103295396e-07,1.7764266103295396e-07
0.0006182,618.1999999999999,9.747518826152501e-08,9.747518826152501e-08,0.097475188261525,-0.014516630632837504,-4920.429023589986,2.3253779619553933e-29,-3.812523381384011e-27,-3.7892696017644566e-27,-7.110780216010379e-34,-1.839398980378684e-07,1.839398980378684e-07
0.00061825,618.25,9.674320619360365e-08,9.674320619360365e-08,0.09674320619360365,-0.014761753705725314,-4884.493891922435,2.404572129654094e-29,-3.8133153476680805e-27,-3.7892696263715396e-27,-7.3568510459825346e-34,-1.903051972033891e-07,1.903051972033891e-07
0.0006183,618.3000000000001,9.599901289095248e-08,9.599901289095248e-08,0.09599901289095249,-0.015005064452306262,-4847.935971315467,2.4844921535009576e-29,-3.8141145727652834e-27,-3.789269651230274e-27,-7.605438390963512e-34,-1.967355929546672e-07,1.967355929546672e-07
0.0006183499999999999,618.3499999999999,9.524269974837302e-08,9.524269974837302e-08,0.09524269974837302,-0.015246531820989374,-4810.758776009031,2.5650983899985446e-29,-3.8149206602290146e-27,-3.789269676329029e-27,-7.856425942732355e-34,-2.0322807665950569e-07,2.0322807665950569e-07
0.0006184,618.4,9.447435970885353e-08,9.447435970885353e-08,0.09447435970885354,-0.015486124938058413,-4772.965906752473,2.6463508170127376e-29,-3.815733209826138e-27,-3.789269701656011e-27,-8.109695757248336e-34,-2.0977959737072764e-07,2.0977959737072764e-07
0.00061845,618.45,9.369408725456717e-08,9.369408725456717e-08,0.09369408725456717,-0.01572381311201668,-4734.561051578183,2.7282090526847155e-29,-3.816551817726112e-27,-3.789269727199265e-27,-8.365128297698838e-34,-2.1638706293972821e-07,2.1638706293972821e-07
0.0006185,618.5,9.290197839765187e-08,9.290197839765187e-08,0.09290197839765187,-0.015959565837970032,-4695.5479865558245,2.810632374590817e-29,-3.8173760766925875e-27,-3.789269752946679e-27,-8.622602441674005e-34,-2.2304734020206663e-07,2.2304734020206663e-07
0.0006185499999999999,618.55,9.209813067077017e-08,9.209813067077017e-08,0.09209813067077018,-0.01619335280204707,-4655.930576525666,2.8935797391431267e-29,-3.8182055762774234e-27,-3.7892697788859924e-27,-8.881995574437172e-34,-2.297572573901625e-07,2.297572573901625e-07
0.0006186,618.5999999999999,9.128264311744717e-08,9.128264311744717e-08,0.09128264311744716,-0.01642514388585545,-4615.712775809576,2.977009801223384e-29,-3.81903990301703e-27,-3.789269805004796e-27,-9.143183610448802e-34,-2.365136046900718e-07,2.365136046900718e-07
