time_s,rf_x_hz,amplitude,slm_digital
0.0001655,80500000,0.84914931,1
0.000166,80500000,0.8542916,1
0.0001665,80500000,0.859449149,1
0.000167,80500000,0.864621958,1
0.0001675,80500000,0.869794766,1
0.000168,80500000,0.874998093,1
0.0001685,80500000,0.874998093,1
0.000169,80500076.3,0.874998093,1
0.0001695,80500152.6,0.874998093,1
0.00017,80500228.9,0.874998093,1
0.0001705,80500381.5,0.874998093,1
0.000171,80500534.1,0.874998093,1
0.0001715,80500686.7,0.874998093,1
0.000172,80500915.5,0.874998093,1
0.0001725,80501144.4,0.874998093,1
0.000173,80501373.3,0.874998093,1
0.0001735,80501678.5,0.874998093,1
0.000174,80501983.7,0.874998093,1
0.0001745,80502288.9,0.874998093,1
0.000175,80502670.3,0.874998093,1
0.0001755,80503051.8,0.874998093,1
0.000176,80503509.6,0.874998093,1
0.0001765,80503967.3,0.874998093,1
0.000177,80504425.1,0.874998093,1
0.0001775,80504882.9,0.874998093,1
0.000178,80505417,0.874998093,1
0.0001785,80505951,0.874998093,1
0.000179,80506485.1,0.874998093,1
0.0001795,80507095.4,0.874998093,1
0.00018,80507705.8,0.874998093,1
0.0001805,80508392.5,0.874998093,1
0.000181,80509002.8,0.874998093,1
0.0001815,80509765.8,0.874998093,1
0.000182,80510452.4,0.874998093,1
0.0001825,80511215.4,0.874998093,1
0.000183,80511902,0.874998093,1
0.0001835,80512741.3,0.874998093,1
0.000184,80513504.2,0.874998093,1
0.0001845,80514343.5,0.874998093,1
0.000185,80515182.7,0.874998093,1
0.0001855,80516098.3,0.874998093,1
0.000186,80517013.8,0.874998093,1
0.0001865,80517929.4,0.874998093,1
0.000187,80518844.9,0.874998093,1
0.0001875,80519836.7,0.874998093,1
0.000188,80520828.6,0.874998093,1
0.0001885,80521820.4,0.874998093,1
0.000189,80522888.5,0.874998093,1
0.0001895,80523880.4,0.874998093,1
0.00019,80525024.8,0.874998093,1
0.0001905,80526092.9,0.874998093,1
0.000191,80527237.4,0.874998093,1
0.0001915,80528305.5,0.874998093,1
0.000192,80529526.2,0.874998093,1
0.0001925,80530670.6,0.874998093,1
0.000193,80531891.4,0.874998093,1
0.0001935,80533112.1,0.874998093,1
0.000194,80534332.8,0.874998093,1
0.0001945,80535629.8,0.874998093,1
0.000195,80536850.5,0.874998093,1
0.0001955,80538223.8,0.874998093,1
0.000196,80539520.9,0.874998093,1
0.0001965,80540817.9,0.874998093,1
0.000197,80542191.2,0.874998093,1
0.0001975,80543564.5,0.874998093,1
0.000198,80545014.1,0.874998093,1
0.0001985,80546387.4,0.874998093,1
0.000199,80547837,0.874998093,1
0.0001995,80549286.6,0.874998093,1
0.0002,80550736.2,0.874998093,1
0.0002005,80552262.1,0.874998093,1
0.000201,80553788.1,0.874998093,1
0.0002015,80555314,0.874998093,1
0.000202,80556839.9,0.874998093,1
0.0002025,80558365.8,0.874998093,1
0.000203,80559968,0.874998093,1
0.0002035,80561570.2,0.874998093,1
0.000204,80563172.4,0.874998093,1
0.0002045,80564774.5,0.874998093,1
0.000205,80566453,0.874998093,1
0.0002055,80568131.5,0.874998093,1
0.000206,80569810,0.874998093,1
0.0002065,80571488.5,0.874998093,1
0.000207,80573243.3,0.874998093,1
0.0002075,80574921.8,0.874998093,1
0.000208,80576676.6,0.874998093,1
0.0002085,80578431.4,0.874998093,1
0.000209,80580186.2,0.874998093,1
0.0002095,80582017.2,0.874998093,1
0.00021,80583848.3,0.874998093,1
0.0002105,80585603.1,0.874998093,1
0.000211,80587510.5,0.874998093,1
0.0002115,80589341.6,0.874998093,1
0.000212,80591172.7,0.874998093,1
0.0002125,80593080,0.874998093,1
0.000213,80594987.4,0.874998093,1
0.0002135,80596894.8,0.874998093,1
0.000214,80598802.2,0.874998093,1
0.0002145,80600709.5,0.874998093,1
0.000215,80602693.2,0.874998093,1
0.0002155,80604676.9,0.874998093,1
0.000216,80606660.6,0.874998093,1
0.0002165,80608644.2,0.874998093,1
0.000217,80610627.9,0.874998093,1
0.0002175,80612611.6,0.874998093,1
0.000218,80614671.5,0.874998093,1
0.0002185,80616731.5,0.874998093,1
0.000219,80618791.5,0.874998093,1
0.0002195,80620851.5,0.874998093,1
0.00022,80622911.4,0.874998093,1
0.0002205,80624971.4,0.874998093,1
0.000221,80627107.7,0.874998093,1
0.0002215,80629243.9,0.874998093,1
0.000222,80631380.2,0.874998093,1
0.0002225,80633516.4,0.874998093,1
0.000223,80635652.7,0.874998093,1
0.0002235,80637789,0.874998093,1
0.000224,80640001.5,0.874998093,1
0.0002245,80642137.8,0.874998093,1
0.000225,80644350.3,0.874998093,1
0.0002255,80646562.9,0.874998093,1
0.000226,80648775.5,0.874998093,1
0.0002265,80650988,0.874998093,1
0.000227,80653200.6,0.874998093,1
0.0002275,80655489.4,0.874998093,1
0.000228,80657702,0.874998093,1
0.0002285,80659990.8,0.874998093,1
0.000229,80662279.7,0.874998093,1
0.0002295,80664568.6,0.874998093,1
0.00023,80666857.4,0.874998093,1
0.0002305,80669146.3,0.874998093,1
0.000231,80671435.1,0.874998093,1
0.0002315,80673724,0.874998093,1
0.000232,80676089.1,0.874998093,1
0.0002325,80678378,0.874998093,1
0.000233,80680743.1,0.874998093,1
0.0002335,80683108.3,0.874998093,1
0.000234,80685473.4,0.874998093,1
0.0002345,80687838.6,0.874998093,1
0.000235,80690203.7,0.874998093,1
0.0002355,80692568.9,0.874998093,1
0.000236,80695010.3,0.874998093,1
0.0002365,80697375.4,0.874998093,1
0.000237,80699740.6,0.874998093,1
0.0002375,80702182,0.874998093,1
0.000238,80704623.5,0.874998093,1
0.0002385,80706988.6,0.874998093,1
0.000239,80709430.1,0.874998093,1
0.0002395,80711871.5,0.874998093,1
0.00024,80714313,0.874998093,1
0.0002405,80716754.4,0.874998093,1
0.000241,80719195.8,0.874998093,1
0.0002415,80721713.6,0.874998093,1
0.000242,80724155,0.874998093,1
0.0002425,80726596.5,0.874998093,1
0.000243,80729114.2,0.874998093,1
0.0002435,80731555.7,0.874998093,1
0.000244,80734073.4,0.874998093,1
0.0002445,80736514.8,0.874998093,1
0.000245,80739032.6,0.874998093,1
0.0002455,80741550.3,0.874998093,1
0.000246,80743991.8,0.874998093,1
0.0002465,80746509.5,0.874998093,1
0.000247,80749027.2,0.874998093,1
0.0002475,80751545,0.874998093,1
0.000248,80754062.7,0.874998093,1
0.0002485,80756580.5,0.874998093,1
0.000249,80759098.2,0.874998093,1
0.0002495,80761615.9,0.874998093,1
0.00025,80764133.7,0.874998093,1
0.0002505,80766727.7,0.874998093,1
0.000251,80769245.4,0.874998093,1
0.0002515,80771763.2,0.874998093,1
0.000252,80774280.9,0.874998093,1
0.0002525,80776875,0.874998093,1
0.000253,80779392.7,0.874998093,1
0.0002535,80781910.4,0.874998093,1
0.000254,80784504.5,0.874998093,1
0.0002545,80787022.2,0.874998093,1
0.000255,80789539.9,0.874998093,1
0.0002555,80792134,0.874998093,1
0.000256,80794651.7,0.874998093,1
0.0002565,80797245.7,0.874998093,1
0.000257,80799763.5,0.874998093,1
0.0002575,80802357.5,0.874998093,1
0.000258,80804875.3,0.874998093,1
0.0002585,80807469.3,0.874998093,1
0.000259,80809987,0.874998093,1
0.0002595,80812581.1,0.874998093,1
0.00026,80815098.8,0.874998093,1
0.0002605,80817692.8,0.874998093,1
0.000261,80820210.6,0.874998093,1
0.0002615,80822804.6,0.874998093,1
0.000262,80825322.3,0.874998093,1
0.0002625,80827840.1,0.874998093,1
0.000263,80830434.1,0.874998093,1
0.0002635,80832951.9,0.874998093,1
0.000264,80835545.9,0.874998093,1
0.0002645,80838063.6,0.874998093,1
