experiment,structure,temperature_uK,target,duration_us,dt_ns,v_avg_mm_per_s,v_peak_mm_per_s,v_rms_mm_per_s,eta_peak,step_displacement_frac,move_duration_us,shots,captured,capture_rate,wilson_low,wilson_high,follow_loss_rate,exc_move_end_median,exc_move_end_q90,margin_q10,failure_follow_loss,failure_ramp_excitation,failure_handoff,work_residual_median_over_depth,status,error
end_to_end,frozen_shape_scaled,10.0,120,119.99999999999999,50.0,20.4029584289722,38.24405708635985,24.379428604580877,0.1444805055058317,0.0016343614139470025,117.63,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0130972191028638,1.0709932147752712,0.811720000317286,0,0,0,2.993437928244646e-06,ok,
end_to_end,frozen_shape_scaled,10.0,90,89.99999999999999,44.09603135717785,27.203944571962932,50.992076115146475,32.505904806107836,0.19264067400777557,0.0019218360575564948,88.22250000000001,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0091336372793576,1.0481429144005534,0.8141930047702551,0,0,0,3.6702180448470226e-06,ok,
end_to_end,frozen_shape_scaled,10.0,65,65.0,31.84713375796178,37.66700017656406,70.6044130825105,45.00817588538007,0.2667332409338431,0.0019218360575564948,63.71625,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0057540852016418,1.0359162790034582,0.8175158834710757,0,0,0,2.77255513280343e-06,ok,
end_to_end,frozen_shape_scaled,10.0,45,44.99999999999999,22.048015678588925,54.407889143925864,101.98415223029295,65.01180961221567,0.38528134801555114,0.0019218360575564948,44.111250000000005,300,277,0.9233333333333333,0.8875898961498251,0.9483723882133924,1.0,1.0603736599337932,1.1278301567442057,0.07571957209299565,0,0,23,4.8746545332033805e-06,ok,
end_to_end,frozen_shape_scaled,10.0,32,32.0,15.678588926996568,76.51109410864576,143.41521407384943,91.4228572671783,0.5418018956468688,0.0019218360575564946,31.367999999999995,300,0,0.0,8.673617379884035e-19,0.012642971224546034,1.0,2.2168483511032617,2.5654731917371056,-3.1119849771143024,0,0,300,7.08071590304318e-06,ok,
end_to_end,frozen_shape_scaled,10.0,25,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,frozen_shape_scaled,10.0,20,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,trapezoid_frozen_ramp,10.0,600,600.0,50.0,4.079366106015774,5.8276658657368205,4.644820537099869,0.022016077120150482,0.0002490455498178129,588.3267001852957,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0051590282862948,1.0423699396189656,0.8735529903898971,0,0,0,1.282443184560649e-06,ok,
end_to_end,trapezoid_frozen_ramp,10.0,400,399.99999999999994,50.0,6.119049159023662,8.741498798605233,6.967230805649806,0.03302411568022573,0.0003735683247267194,392.21780012353054,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.005889964631728,1.0353160047504788,0.8741029279403318,0,0,0,1.331462132233137e-06,ok,
end_to_end,trapezoid_frozen_ramp,10.0,300,300.0,50.0,8.158732212031548,11.655331731473641,9.289641074199738,0.044032154240300964,0.0004980910996356258,294.1633500926479,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0058797150247583,1.040317976701001,0.8749450906674184,0,0,0,1.3922913239880467e-06,ok,
