experiment,sub_experiment,noise_mode,structure,temperature_uK,condition,duration_us,dt_ns,v_peak_mm_per_s,eta_peak,step_displacement_frac,shots,captured,capture_rate,wilson_low,wilson_high,margin_q10,margin_mean,exc_move_end_median,follow_loss_rate,noise_recoil_injected_mean,noise_parametric_injected_mean,noise_pointing_injected_mean,noise_total_injected_mean,work_residual_median_over_depth,pair_difference,pair_ci_low,pair_ci_high,both_captured,only_on,only_off,both_failed,status,error
noise,v95_shift,x1000,frozen_shape_scaled,20.0,300,300.0,50.0,15.297622834543942,0.05779220220233267,0.000653744565578801,300,147,0.49,0.43391704888051774,0.5463358105439731,-0.3460282758253964,0.2684336207188854,1.16094328922983,1.0,1.0651547886049998e-07,9.597076556166673e-05,3.9260449057291227e-07,9.646988553109179e-05,8.594329460293466e-06,,,,,,,,ok,
noise,v95_shift,x1000,frozen_shape_scaled,20.0,220,219.99999999999997,50.0,20.8603947743781,0.07880754845772636,0.0008914698621529104,300,147,0.49,0.43391704888051774,0.5463358105439731,-0.2458281763899354,0.3321831493068141,1.1132796094325133,1.0,7.811135116436794e-08,7.037856141188884e-05,2.8790995975348806e-07,7.074458272280097e-05,8.517984629529762e-06,,,,,,,,ok,
noise,v95_shift,x1000,frozen_shape_scaled,20.0,160,160.0,50.0,28.68304281476989,0.10836037912937375,0.0012257710604602517,300,147,0.49,0.43391704888051774,0.5463358105439731,-0.17443569847641366,0.37712023602252936,1.0795827363337094,1.0,5.68082553922689e-08,5.118440829955543e-05,2.093890616389125e-07,5.14506056165828e-05,8.350485239831912e-06,,,,,,,,ok,
noise,v95_shift,x1000,frozen_shape_scaled,20.0,120,119.99999999999999,50.0,38.24405708635985,0.1444805055058317,0.0016343614139470025,300,147,0.49,0.43391704888051774,0.5463358105439731,-0.12883354935012203,0.4031784756248401,1.0582541488873893,1.0,4.260619154420291e-08,3.838830622466648e-05,1.5704179622918018e-07,3.858795421243739e-05,8.041239463926312e-06,,,,,,,,ok,
noise,v95_shift,x1000,frozen_shape_scaled,20.0,90,89.99999999999999,44.09603135717785,50.992076115146475,0.19264067400777557,0.0019218360575564948,300,147,0.49,0.43391704888051774,0.5463358105439731,-0.09570566694072324,0.42227724290033647,1.0429224953222735,1.0,3.1954643658153725e-08,2.879122966849766e-05,1.1778134717188334e-07,2.894096565932989e-05,6.331820607779661e-06,,,,,,,,ok,
noise,v95_shift,x1000,frozen_shape_scaled,20.0,65,65.0,31.84713375796178,70.6044130825105,0.2667332409338431,0.0019218360575564948,300,147,0.49,0.43391704888051774,0.5463358105439731,-0.06862317413375846,0.43246762076490947,1.0306042663518102,1.0,2.3078353753111125e-08,2.0793665871693225e-05,8.506430629080765e-08,2.0901808531736946e-05,3.655671012892065e-06,,,,,,,,ok,
noise,v95_shift,x1000,frozen_shape_scaled,20.0,45,44.99999999999999,22.048015678588925,101.98415223029295,0.38528134801555114,0.0019218360575564948,300,118,0.3933333333333333,0.3397391051458938,0.44962472871534254,-0.05067636511034008,0.06623174676112692,1.0219944101684488,1.0,1.5977321829076862e-08,1.439561483424883e-05,5.889067358594167e-08,1.4470482829664945e-05,2.164991323695458e-06,,,,,,,,ok,
noise,v95_shift,x1000,frozen_shape_scaled,20.0,32,32.0,15.678588926996568,143.41521407384943,0.5418018956468688,0.0019218360575564946,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-2.5999649957883073,-1.0893318793119728,1.018674989747591,1.0,1.1361651078454131e-08,1.0236881659910858e-05,4.1877812327782864e-08,1.0290121123316614e-05,1.2605442069466193e-06,,,,,,,,ok,
noise,v95_shift,x1000,frozen_shape_scaled,20.0,25,24.999999999999996,12.24889759921607,183.5714740145273,0.6935064264279921,0.0019218360575564948,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-3.30249256249372,-1.4308080512729262,1.0147228531996193,1.0,8.87628990504279e-09,7.997563796805279e-06,3.271704088107939e-08,8.039157127591341e-06,1.1889880595161132e-06,,,,,,,,ok,
noise,v95_shift,x1000,frozen_shape_scaled,20.0,20,20.0,9.799118079372855,229.46434251815913,0.86688303303499,0.0019218360575564946,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-2.8251389706517487,-0.9738189114558771,1.0178244671350871,1.0,7.101031924033714e-09,6.398051037444449e-06,2.6173632704862244e-08,6.43132570207285e-06,1.0241176115874249e-06,,,,,,,,ok,
noise,onoff_paired,off,trapezoid_frozen_ramp,5.0,10,349.65995194420924,49.99427394112227,10.0,0.037778550842442436,0.00042730148667625886,300,300,1.0,0.9873570287754538,0.9999999999999998,0.940735112434003,0.9743999727710654,1.0032087014886135,1.0,,,,,8.940264593866055e-07,,,,,,,,ok,
noise,onoff_paired,x1,trapezoid_frozen_ramp,5.0,10,349.65995194420924,49.99427394112227,10.0,0.037778550842442436,0.00042730148667625886,300,300,1.0,0.9873570287754538,0.9999999999999998,0.940112281512263,0.9740739987041261,1.0031307294894045,1.0,1.2414732406561593e-10,1.1185711091445669e-07,4.575935576894729e-10,1.1243885179622301e-07,8.98443791811226e-07,0.0,0.0,0.0,300,0,0,0,ok,
noise,onoff_paired,off,trapezoid_frozen_ramp,5.0,40,87.41498798605231,42.85048430688839,40.0,0.15111420336976975,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.9264776096922913,0.9675482349785753,1.0041984687033476,1.0,,,,,3.182638986940885e-06,,,,,,,,ok,
noise,onoff_paired,x1,trapezoid_frozen_ramp,5.0,40,87.41498798605231,42.85048430688839,40.0,0.15111420336976975,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.9264644368472071,0.9675110964276993,1.0042429458956632,1.0,3.103683101640109e-11,2.7964277728616464e-08,1.1439838942234537e-10,2.8109712949056768e-08,3.1823030987749937e-06,0.0,0.0,0.0,300,0,0,0,ok,
noise,onoff_paired,off,trapezoid_frozen_ramp,5.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.8192466410644853,0.9002791889305907,1.0034842488341185,1.0,,,,,2.077914536838827e-06,,,,,,,,ok,
noise,onoff_paired,x1,trapezoid_frozen_ramp,5.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.8192299320456206,0.9002498678682529,1.003497117793216,1.0,2.2572240739199857e-11,2.03376565299036e-08,8.319882867079961e-11,2.0443427599313566e-08,2.078113721087134e-06,0.0,0.0,0.0,300,0,0,0,ok,
noise,onoff_paired,off,trapezoid_frozen_ramp,5.0,80,43.707493993026155,21.425242153444195,80.0,0.3022284067395395,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6575569431635624,0.8105815830285747,1.0549471549599654,1.0,,,,,2.3268668572523837e-06,,,,,,,,ok,
noise,onoff_paired,x1,trapezoid_frozen_ramp,5.0,80,43.707493993026155,21.425242153444195,80.0,0.3022284067395395,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6574509912813244,0.8105523596594625,1.05544677346268,1.0,1.5518415508200544e-11,1.3982138864308232e-08,5.719919471117269e-11,1.4054856474528384e-08,2.3267259848559818e-06,0.0,0.0,0.0,300,0,0,0,ok,
noise,onoff_paired,off,trapezoid_frozen_ramp,20.0,10,349.65995194420924,49.99427394112227,10.0,0.037778550842442436,0.00042730148667625886,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7989200753892884,0.9064191035659018,1.0108168309178107,1.0,,,,,2.9265433579220533e-06,,,,,,,,ok,
noise,onoff_paired,x1,trapezoid_frozen_ramp,20.0,10,349.65995194420924,49.99427394112227,10.0,0.037778550842442436,0.00042730148667625886,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7983231210818268,0.90589851650088,1.010972456927904,1.0,1.2414732406561593e-10,1.1185711091445669e-07,4.575935576894729e-10,1.1243885179622301e-07,2.942933429326076e-06,0.0,0.0,0.0,300,0,0,0,ok,
noise,onoff_paired,off,trapezoid_frozen_ramp,20.0,40,87.41498798605231,42.85048430688839,40.0,0.15111420336976975,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.8011870845034708,0.9006478055706721,1.01055472755855,1.0,,,,,3.815656423998774e-06,,,,,,,,ok,
noise,onoff_paired,x1,trapezoid_frozen_ramp,20.0,40,87.41498798605231,42.85048430688839,40.0,0.15111420336976975,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.8011425184663865,0.9005829135113532,1.0105897509652864,1.0,3.103683101640109e-11,2.7964277728616464e-08,1.1439838942234537e-10,2.8109712949056768e-08,3.816166974080198e-06,0.0,0.0,0.0,300,0,0,0,ok,
noise,onoff_paired,off,trapezoid_frozen_ramp,20.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7070232129017635,0.8553675556151593,1.0135121856994345,1.0,,,,,2.440244984878503e-06,,,,,,,,ok,
noise,onoff_paired,x1,trapezoid_frozen_ramp,20.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7068914489458622,0.8553588300011485,1.0135273915430931,1.0,2.2572240739199857e-11,2.03376565299036e-08,8.319882867079961e-11,2.0443427599313566e-08,2.44039719371119e-06,0.0,0.0,0.0,300,0,0,0,ok,
noise,onoff_paired,off,trapezoid_frozen_ramp,20.0,80,43.707493993026155,21.425242153444195,80.0,0.3022284067395395,0.0014649738224577229,300,285,0.95,0.9191529665272558,0.9694683593706526,0.3164073801843497,0.6624448111352421,1.035400743789726,1.0,,,,,2.577739941836738e-06,,,,,,,,ok,
noise,onoff_paired,x1,trapezoid_frozen_ramp,20.0,80,43.707493993026155,21.425242153444195,80.0,0.3022284067395395,0.0014649738224577229,300,285,0.95,0.9191529665272558,0.9694683593706526,0.3162798557708914,0.6624217538234272,1.0354079389836137,1.0,1.5518415508200544e-11,1.3982138864308232e-08,5.719919471117269e-11,1.4054856474528384e-08,2.57772779125484e-06,0.0,0.0,0.0,285,0,0,15,ok,
noise,amplitude_sensitivity,x1,trapezoid_frozen_ramp,20.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6665570292941047,0.8399561415715483,1.0111411117531928,1.0,2.2572240739199857e-11,2.03376565299036e-08,8.319882867079961e-11,2.0443427599313566e-08,2.403579878166907e-06,,,,,,,,ok,
noise,amplitude_sensitivity,x10,trapezoid_frozen_ramp,20.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6665745113909329,0.8407491128733873,1.010216020184884,1.0,2.25722407391995e-10,2.0337656529902576e-07,8.319882867079496e-10,2.0443427599312247e-07,2.407008327995916e-06,,,,,,,,ok,
noise,amplitude_sensitivity,x100,trapezoid_frozen_ramp,20.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6854540923454825,0.8402650143868787,1.0026788711053003,1.0,2.2572240739199646e-09,2.0337656529903702e-06,8.319882867079878e-09,2.04434275993118e-06,2.4069260519725e-06,,,,,,,,ok,
noise,amplitude_sensitivity,x1000,trapezoid_frozen_ramp,20.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,150,0.5,0.4437795161339169,0.5562204838660831,-0.0644439295832531,0.4434602139050488,1.0181143238960824,1.0,2.2572240739199733e-08,2.0337656529902924e-05,8.319882867080258e-08,2.044342759931363e-05,2.745617131861372e-06,,,,,,,,ok,
noise,channel_breakdown,off,trapezoid_frozen_ramp,20.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6766391902391381,0.8327753138853383,1.0148670864289633,1.0,,,,,2.7112672511194453e-06,,,,,,,,ok,
noise,channel_breakdown,all_channels,trapezoid_frozen_ramp,20.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,143,0.4766666666666667,0.42080166187431245,0.533121676782833,-0.06517117663832367,0.4206271998797884,1.0284023200138899,1.0,2.2572240739199733e-08,2.0337656529902924e-05,8.319882867080258e-08,2.044342759931363e-05,3.6580290469878247e-06,,,,,,,,ok,
noise,channel_breakdown,recoil_only,trapezoid_frozen_ramp,20.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6767718447570453,0.8327586022069199,1.0148645480350393,1.0,2.2572240739199733e-08,0.0,0.0,2.2572240739199733e-08,2.710606880072356e-06,,,,,,,,ok,
noise,channel_breakdown,parametric_only,trapezoid_frozen_ramp,20.0,55,63.57453671712895,31.163988586827916,55.00000000000001,0.20778202963343345,0.0014649738224577229,300,143,0.4766666666666667,0.42080166187431245,0.533121676782833,-0.0647967498381475,0.42084101076556685,1.0282342950297878,1.0,0.0,2.0337656529902924e-05,0.0,2.0337656529902924e-05,3.6587882375129915e-06,,,,,,,,ok,
