distance_um,duration_us,trajectory,protocol,tau_us,rin,repeat,seed,noise_us,dt_coarse,dt_fine,survival_difference,paired_SE,label_disagreement,energy_KS,median_energy_difference_uK
510.0,1600.0,zero_jerk,B,5.0,5.75e-09,1,26091731,0.2,0.05,0.025,-0.00146484375,0.0008453146775885285,0.00146484375,0.0037785756137082016,-0.02737383483362665
510.0,1600.0,zero_jerk,B,5.0,5.75e-09,10,26091731,0.2,0.1,0.05,-0.00244140625,0.009123914790098718,0.17041015625,0.028270471863263813,-1.8226238977761733
510.0,1600.0,zero_jerk,B,5.0,5.75e-09,10,26091731,0.2,0.05,0.025,-0.015625,0.008564433914339148,0.150390625,0.02537349592182836,2.0187048933967793
510.0,1600.0,zero_jerk,B,5.0,5.75e-09,50,26091731,0.2,0.1,0.05,-0.01708984375,0.010615290896903948,0.23095703125,0.03709401709401711,-0.3494695042041529
510.0,1600.0,zero_jerk,B,5.0,5.75e-09,50,26091731,0.2,0.05,0.025,0.00390625,0.010677654250745105,0.2333984375,0.04804292929292936,-2.5900473722087334
510.0,2200.0,rb_cubic,A,5.0,0.0,1,26091773,0.2,0.1,0.05,0.0,0.0,0.0,0.00341796875,-0.006829879511708146
510.0,2200.0,rb_cubic,A,5.0,0.0,1,26091773,0.2,0.05,0.025,0.0,0.0,0.0,0.001953125,-0.0044265482072388795
510.0,2200.0,rb_cubic,A,5.0,0.0,10,26091773,0.2,0.1,0.05,0.0009765625,0.0006903652756455057,0.0009765625,0.016980063996823058,0.5618161608778746
510.0,2200.0,rb_cubic,A,5.0,0.0,10,26091773,0.2,0.05,0.025,0.0,0.0006907026151602111,0.0009765625,0.014173998044965774,-0.4544393887711601
510.0,2200.0,rb_cubic,A,5.0,0.0,50,26091773,0.2,0.1,0.05,0.0009765625,0.003010625526434977,0.0185546875,0.02109152157595051,0.7226271794484319
510.0,2200.0,rb_cubic,A,5.0,0.0,50,26091773,0.2,0.05,0.025,-0.00146484375,0.0028892349412211315,0.01708984375,0.029021387313417912,0.45954919664688826
510.0,3000.0,min_jerk,A,5.0,0.0,1,26091773,0.2,0.1,0.05,0.0,0.0,0.0,0.001953125,0.002298829766177714
510.0,3000.0,min_jerk,A,5.0,0.0,1,26091773,0.2,0.05,0.025,0.0,0.0,0.0,0.001953125,0.0016590831647607766
510.0,3000.0,min_jerk,A,5.0,0.0,10,26091773,0.2,0.1,0.05,0.0,0.0,0.0,0.00634765625,0.029614343628019863
