distance_um,trajectory,protocol,tau_us,depth_uK,rin,disorder,repeat,time_short_us,time_long_us,survival_short,survival_long,short_lower,long_upper,interpretation
610.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.966796875,0.892578125,0.9473697068276852,0.9180442287407984,screening evidence only; no familywise correction
610.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.892578125,0.72265625,0.8624771684669387,0.7610296885646134,screening evidence only; no familywise correction
610.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.72265625,0.5078125,0.6816899415348145,0.5519402246955603,screening evidence only; no familywise correction
610.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.26953125,0.12890625,0.2315458751833913,0.1610626384996719,screening evidence only; no familywise correction
610.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.12890625,0.01953125,0.1011164495800839,0.0356246361816769,screening evidence only; no familywise correction
610.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.8359375,0.728515625,0.800962315648877,0.7665994145399784,screening evidence only; no familywise correction
610.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.728515625,0.51953125,0.687770177541408,0.5635633304531007,screening evidence only; no familywise correction
610.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.51953125,0.3671875,0.4752724660421362,0.4105892504580404,screening evidence only; no familywise correction
610.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.13671875,0.078125,0.1081532073509422,0.1048663571002551,screening evidence only; no familywise correction
610.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.078125,0.017578125,0.0563977959958858,0.033105620119942,screening evidence only; no familywise correction
610.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.9609375,0.908203125,0.940314018082688,0.9317710855859782,screening evidence only; no familywise correction
610.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.908203125,0.681640625,0.8798005782786502,0.721818421096222,screening evidence only; no familywise correction
610.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.681640625,0.525390625,0.639350174051406,0.5693659864763263,screening evidence only; no familywise correction
610.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.287109375,0.123046875,0.2482714750795105,0.1546711303600911,screening evidence only; no familywise correction
610.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.123046875,0.017578125,0.0958617928253271,0.033105620119942,screening evidence only; no familywise correction
610.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.8515625,0.720703125,0.8177667340269674,0.7591712687776466,screening evidence only; no familywise correction
610.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.720703125,0.52734375,0.6796650289797189,0.5712988849384354,screening evidence only; no familywise correction
610.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.52734375,0.37109375,0.4830712235727814,0.4145640551025052,screening evidence only; no familywise correction
610.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.119140625,0.048828125,0.0923702640122994,0.0712386558413629,screening evidence only; no familywise correction
610.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.048828125,0.0078125,0.0318447521964366,0.0198814599714521,screening evidence only; no familywise correction
