geometry,path_speed_m_s,focus1_um,focus2_um,axial_minimum_um,actual_depth_uK,axial_frequency_Hz
diagonal,0.8,9.34900485565078,9.34900485565078,9.34742419613869,279.99994803058024,8119.2494587940855
diagonal,0.81,9.465867416346416,9.465867416346416,9.46387252706927,279.9999172231771,8119.246746603984
diagonal,0.8200000000000001,9.582729977042051,9.582729977042051,9.580554583121238,279.9999015655864,8119.2453520723675
diagonal,0.8300000000000001,9.699592537737683,9.699592537737683,9.697470364294604,279.9999063230169,8119.245733070185
diagonal,0.84,9.816455098433318,9.816455098433318,9.814619870589357,279.9999299430605,8119.247755070399
diagonal,0.85,9.933317659128953,9.933317659128953,9.932003102005504,279.9999640556893,8119.2506904883185
diagonal,0.86,10.050180219824586,10.050180219824586,10.049620058543042,279.9999934732428,8119.253216117355
diagonal,0.87,10.167042780520223,10.167042780520223,10.167470740201965,279.99999619042086,8119.25341906678
diagonal,0.88,10.283905341215858,10.283905341215858,10.285555146982288,279.9999433843058,8119.248792694168
diagonal,0.89,10.400767901911491,10.400767901911491,10.399164238768233,279.9999465069325,8119.249031653751
diagonal,0.9,10.517630462607126,10.517630462607126,10.517704409535263,279.9999998862604,8119.253641382421
diagonal,0.91,10.634493023302763,10.634493023302763,10.636478305423685,279.9999180185443,8119.246486854018
diagonal,0.92,10.751355583998397,10.751355583998397,10.75074182754952,279.99999216455956,8119.252903475667
diagonal,0.93,10.86821814469403,10.86821814469403,10.869971487424655,279.9999360552601,8119.247988683733
diagonal,0.9400000000000001,10.985080705389667,10.985080705389667,10.984667401025066,279.99999644686864,8119.253208719659
diagonal,0.9500000000000001,11.101943266085302,11.101943266085302,11.099573667234731,279.99988320593616,8119.243323840211
diagonal,0.96,11.218805826780935,11.218805826780935,11.219481129961899,279.9999905143114,8119.25262531891
diagonal,0.97,11.33566838747657,11.33566838747657,11.334819787646133,279.99998502119564,8119.252113399407
diagonal,0.98,11.452530948172205,11.452530948172205,11.45036879793962,279.99990276046515,8119.244923718586
diagonal,0.99,11.569393508867838,11.569393508867838,11.570954063518824,279.9999493442002,8119.248942020202
diagonal,1.0,11.686256069563473,11.686256069563473,11.686935465286885,279.99999039899063,8119.2524795155805
diagonal,1.01,11.80311863025911,11.80311863025911,11.803127219664198,279.9999999984654,8119.253280405133
diagonal,1.02,11.919981190954744,11.919981190954744,11.919529326650764,279.99999575295016,8119.252876862203
diagonal,1.03,12.036843751650377,12.036843751650377,12.03614178624658,279.9999897504997,8119.252320348201
diagonal,1.04,12.153706312346014,12.153706312346014,12.152964598451652,279.99998855688926,8119.252182101857
diagonal,1.05,12.270568873041647,12.270568873041647,12.269997763265971,279.9999932156153,8119.252553061092
diagonal,1.06,12.387431433737284,12.387431433737284,12.387241280689542,279.999999247896,8119.253043186984
diagonal,1.07,12.504293994432919,12.504293994432919,12.504695150722366,279.99999665267023,8119.252782620311
diagonal,1.08,12.621156555128552,12.621156555128552,12.62235937336445,279.9999699066005,8119.2504213926695
diagonal,1.09,12.738019115824189,12.738019115824189,12.74023394861578,279.9998979640949,8119.244128426786
diagonal,1.1,12.854881676519822,12.854881676519822,12.853364424983123,279.9999521164448,8119.248803994329
diagonal,1.11,12.971744237215459,12.971744237215459,12.971648019196891,279.999999807432,8119.252918088177
diagonal,1.12,13.088606797911089,13.088606797911089,13.090141966019905,279.9999509788953,8119.248635239943
diagonal,1.1300000000000001,13.205469358606724,13.205469358606724,13.203856755190728,279.9999459088323,8119.248158993931
diagonal,1.1400000000000001,13.322331919302364,13.322331919302364,13.322759720976192,279.99999619323347,8119.252498372038
diagonal,1.1500000000000001,13.439194479997997,13.439194479997997,13.436860156597307,279.9998866574023,8119.24293385567
diagonal,1.16,13.556057040693627,13.556057040693627,13.556172141345188,279.9999997244332,8119.252734833326
diagonal,1.17,13.672919601389262,13.672919601389262,13.670658223416604,279.99989363042096,8119.243469609474
diagonal,1.18,13.789782162084899,13.789782162084899,13.790379227126923,279.99999258494177,8119.252042706934
diagonal,1.19,13.906644722780532,13.906644722780532,13.90525095564864,279.9999595934599,8119.24913696033
diagonal,1.2,14.023507283476167,14.023507283476167,14.025380978321403,279.99992697544815,8119.246264222606
opposite,0.0,0.0,-0.0,0.0,280.0,8119.256312393606
opposite,0.01,0.1168625606956347,-0.1168625606956347,0.0,279.7162200510804,8102.802722575847
opposite,0.02,0.2337251213912694,-0.2337251213912694,0.0,278.86832107347834,8053.6912428636015
opposite,0.03,0.3505876820869042,-0.3505876820869042,0.0,277.4665218964893,7972.660423575728
opposite,0.04,0.4674502427825388,-0.4674502427825388,0.0,275.5275137768549,7860.9117082171015
opposite,0.05,0.5843128034781737,-0.5843128034781737,-3.3881317890172014e-15,273.07397000039566,7720.06714504065
opposite,0.06,0.7011753641738084,-0.7011753641738084,0.0,270.13389711064127,7552.113844455513
opposite,0.07,0.818037924869443,-0.818037924869443,0.0,266.7398615997216,7359.338404031694
