axis1_vmax_m_s,axis2_vmax_m_s,barrier_uK,distance_um,duration_us,geometry,min_depth_uK,n_minima_at_peak,path_vmax_m_s,profile,severity,split_fraction,v1_over_vs,v2_over_vs,zs1_peak_over_zr,zs2_peak_over_zr
0.7625000000000001,0.0,0.0,610.0,1600.0,straight,-280.0,1,0.7625000000000001,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.7625000000000001,0.0,0.0,610.0,1600.0,straight,-186.6666335710701,1,0.7625000000000001,adiabatic_sine,0.5,0.0,0.5,0.0,1.4142135623730954,0.0
0.7625000000000001,0.0,0.22855251372013213,610.0,1600.0,straight,-131.99324230099108,2,0.7625000000000001,adiabatic_sine,0.75,0.15422885572139303,0.75,0.0,2.121320343559643,0.0
0.7625000000000001,0.0,5.661504096251977,610.0,1600.0,straight,-98.9948702429364,2,0.7625000000000001,adiabatic_sine,1.0,0.36318407960199006,1.0,0.0,2.8284271247461907,0.0
0.7625000000000001,0.0,11.317110233181376,610.0,1600.0,straight,-79.19585502662987,2,0.7625000000000001,adiabatic_sine,1.25,0.4527363184079602,1.25,0.0,3.535533905932738,0.0
0.61,0.0,0.0,610.0,2000.0,straight,-280.0,1,0.61,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.0,0.0,610.0,2000.0,straight,-212.1209769608218,1,0.61,adiabatic_sine,0.5,0.0,0.5,0.0,1.131370849898476,0.0
0.61,0.0,0.0,610.0,2000.0,straight,-162.79069337683032,1,0.61,adiabatic_sine,0.75,0.0,0.75,0.0,1.697056274847714,0.0
0.61,0.0,0.9366628737126159,610.0,2000.0,straight,-123.74364399736636,2,0.61,adiabatic_sine,1.0,0.22388059701492538,1.0,0.0,2.262741699796952,0.0
0.61,0.0,5.661504096251977,610.0,2000.0,straight,-98.99487024293643,2,0.61,adiabatic_sine,1.25,0.36318407960199006,1.25,0.0,2.8284271247461903,0.0
0.9545941546018392,0.9545941546018392,0.0,270.0,400.0,diagonal,-280.0,1,1.35,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.9545941546018392,0.9545941546018392,0.0,270.0,400.0,diagonal,-279.99936309739064,1,1.35,adiabatic_sine,0.5,0.0,0.35355339059327373,0.35355339059327373,1.7704918032786887,1.7704918032786887
0.9545941546018392,0.9545941546018392,0.0,270.0,400.0,diagonal,-279.9999807363625,1,1.35,adiabatic_sine,0.75,0.0,0.5303300858899106,0.5303300858899106,2.6557377049180326,2.6557377049180326
0.9545941546018392,0.9545941546018392,0.0,270.0,400.0,diagonal,-279.9997291053413,1,1.35,adiabatic_sine,1.0,0.0,0.7071067811865475,0.7071067811865475,3.5409836065573774,3.5409836065573774
0.9545941546018392,0.9545941546018392,0.0,270.0,400.0,diagonal,-279.99913848155427,1,1.35,adiabatic_sine,1.25,0.0,0.8838834764831843,0.8838834764831843,4.426229508196721,4.426229508196721
0.6363961030678928,0.6363961030678928,0.0,270.0,600.0,diagonal,-280.0,1,0.9000000000000001,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.6363961030678928,0.6363961030678928,0.0,270.0,600.0,diagonal,-279.9999699005675,1,0.9000000000000001,adiabatic_sine,0.5,0.0,0.35355339059327373,0.35355339059327373,1.1803278688524592,1.1803278688524592
0.6363961030678928,0.6363961030678928,0.0,270.0,600.0,diagonal,-279.99936309739064,1,0.9000000000000001,adiabatic_sine,0.75,0.0,0.5303300858899106,0.5303300858899106,1.7704918032786887,1.7704918032786887
0.6363961030678928,0.6363961030678928,0.0,270.0,600.0,diagonal,-279.9998796023092,1,0.9000000000000001,adiabatic_sine,1.0,0.0,0.7071067811865475,0.7071067811865475,2.3606557377049184,2.3606557377049184
0.6363961030678928,0.6363961030678928,0.0,270.0,600.0,diagonal,-279.9996099118576,1,0.9000000000000001,adiabatic_sine,1.25,0.0,0.8838834764831843,0.8838834764831843,2.950819672131148,2.950819672131148
0.4772970773009196,0.4772970773009196,0.0,270.0,800.0,diagonal,-280.0,1,0.675,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.4772970773009196,0.4772970773009196,0.0,270.0,800.0,diagonal,-279.99956536482404,1,0.675,adiabatic_sine,0.5,0.0,0.35355339059327373,0.35355339059327373,0.8852459016393444,0.8852459016393444
0.4772970773009196,0.4772970773009196,0.0,270.0,800.0,diagonal,-279.9999951840904,1,0.675,adiabatic_sine,0.75,0.0,0.5303300858899106,0.5303300858899106,1.3278688524590163,1.3278688524590163
0.4772970773009196,0.4772970773009196,0.0,270.0,800.0,diagonal,-279.99936309739064,1,0.675,adiabatic_sine,1.0,0.0,0.7071067811865475,0.7071067811865475,1.7704918032786887,1.7704918032786887
0.4772970773009196,0.4772970773009196,0.0,270.0,800.0,diagonal,-279.99965205095646,1,0.675,adiabatic_sine,1.25,0.0,0.8838834764831843,0.8838834764831843,2.2131147540983607,2.2131147540983607
0.38183766184073564,0.38183766184073564,0.0,270.0,1000.0,diagonal,-280.0,1,0.54,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.38183766184073564,0.38183766184073564,0.0,270.0,1000.0,diagonal,-279.9999891642035,1,0.54,adiabatic_sine,0.5,0.0,0.35355339059327373,0.35355339059327373,0.7081967213114755,0.7081967213114755
0.38183766184073564,0.38183766184073564,0.0,270.0,1000.0,diagonal,-279.99918611362614,1,0.54,adiabatic_sine,0.75,0.0,0.5303300858899106,0.5303300858899106,1.0622950819672132,1.0622950819672132
0.38183766184073564,0.38183766184073564,0.0,270.0,1000.0,diagonal,-279.9999566568194,1,0.54,adiabatic_sine,1.0,0.0,0.7071067811865475,0.7071067811865475,1.416393442622951,1.416393442622951
0.38183766184073564,0.38183766184073564,0.0,270.0,1000.0,diagonal,-279.99936309739064,1,0.54,adiabatic_sine,1.25,0.0,0.8838834764831843,0.8838834764831843,1.7704918032786887,1.7704918032786887
0.3181980515339464,0.3181980515339464,0.0,270.0,1200.0,diagonal,-280.0,1,0.45000000000000007,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.3181980515339464,0.3181980515339464,0.0,270.0,1200.0,diagonal,-279.99905608488046,1,0.45000000000000007,adiabatic_sine,0.5,0.0,0.35355339059327373,0.35355339059327373,0.5901639344262296,0.5901639344262296
0.3181980515339464,0.3181980515339464,0.0,270.0,1200.0,diagonal,-279.99956536482404,1,0.45000000000000007,adiabatic_sine,0.75,0.0,0.5303300858899106,0.5303300858899106,0.8852459016393444,0.8852459016393444
0.3181980515339464,0.3181980515339464,0.0,270.0,1200.0,diagonal,-279.9999699005675,1,0.45000000000000007,adiabatic_sine,1.0,0.0,0.7071067811865475,0.7071067811865475,1.1803278688524592,1.1803278688524592
0.3181980515339464,0.3181980515339464,0.0,270.0,1200.0,diagonal,-279.99990247786246,1,0.45000000000000007,adiabatic_sine,1.25,0.0,0.8838834764831843,0.8838834764831843,1.475409836065574,1.475409836065574
