time_s,time_us,position_m,displacement_from_center_m,position_um,velocity_m_per_s,acceleration_m_per_s2,kinetic_energy_J,potential_energy_J,total_energy_J,energy_error_J,energy_error_over_depth,abs_energy_error_over_depth
0.00210255,2102.5499999999997,2.0010057631481986e-09,2.0010057631481986e-09,0.0020010057631481984,-0.02111424250417365,-65.84123367965566,4.919408753699926e-29,-2.485153661839184e-27,-2.4359595743021846e-27,-1.0017180474073082e-33,-4.0307857126423403e-07,4.0307857126423403e-07
0.0021026,2102.6,9.452113363974165e-10,9.452113363974165e-10,0.0009452113363974165,-0.021116666071048465,-31.101441312992517,4.920538152526421e-29,-2.485164956068911e-27,-2.435959574543647e-27,-1.0019595098316381e-33,-4.031757326653536e-07,4.031757326653536e-07
0.0021026499999999997,2102.6499999999996,-1.1066084395664788e-10,-1.1066084395664788e-10,-0.00011066084395664788,-0.021117352576746528,3.641213390471307,4.920858092461743e-29,-2.4851681555366676e-27,-2.43595957461205e-27,-1.0020279129269795e-33,-4.0320325719884053e-07,4.0320325719884053e-07
0.0021027,2102.7,-1.1665239212772363e-09,-1.1665239212772363e-09,-0.0011665239212772362,-0.021116301958087235,38.3835329812352,4.9203684651084306e-29,-2.485163259158452e-27,-2.4359595745073677e-27,-1.0019232305058668e-33,-4.0316113432719237e-07,4.0316113432719237e-07
0.00210275,2102.75,-2.2222910397653713e-09,-2.2222910397653713e-09,-0.0022222910397653715,-0.021113514311761023,73.12232006721476,4.919069436354755e-29,-2.485150268593188e-27,-2.4359595742296403e-27,-1.001645503105062e-33,-4.030493803618853e-07,4.030493803618853e-07
0.0021027999999999997,2102.7999999999997,-3.2778753524533387e-09,-3.2778753524533387e-09,-0.0032778753524533386,-0.021108989894312806,107.85437786152329,4.9169614463114105e-29,-2.4851291882420897e-27,-2.4359595737789755e-27,-1.001194838344287e-33,-4.0286803860772357e-07,4.0286803860772357e-07
0.00210285,2102.85,-4.3331900291966525e-09,-4.3331900291966525e-09,-0.004333190029196653,-0.02110272912209802,142.57651072994855,4.9140452091435316e-29,-2.485100025246982e-27,-2.4359595731555467e-27,-1.0005714094912943e-33,-4.026171787854417e-07,4.026171787854417e-07
0.0021029,2102.9,-5.3881482646631405e-09,-5.3881482646631405e-09,-0.00538814826466314,-0.021094732571211326,177.28552473784907,4.910321712798154e-29,-2.4850627894875767e-27,-2.435959572359595e-27,-9.99775457972994e-34,-4.0229689804215023e-07,4.0229689804215023e-07
0.0021029499999999997,2102.95,-6.4426632863177846e-09,-6.4426632863177846e-09,-0.006442663286317785,-0.021085000977387976,211.9782281961954,4.905792218627245e-29,-2.4850174935777e-27,-2.4359595713914273e-27,-9.988072901468613e-34,-4.019073196521915e-07,4.019073196521915e-07
0.002103,2103.0,-7.496648362401938e-09,-7.496648362401938e-09,-0.007496648362401937,-0.02107353523587791,246.651432206481,4.900458260906508e-29,-2.484964152860482e-27,-2.435959570251417e-27,-9.976672798120643e-34,-4.01448594027585e-07,4.01448594027585e-07
0.00210305,2103.05,-8.550016809905575e-09,-8.550016809905575e-09,-0.008550016809905575,-0.02106033640129264,281.3019512042306,4.894321646250227e-29,-2.4849027854025055e-27,-2.4359595689400033e-27,-9.963558660570689e-34,-4.0092089785193165e-07,4.0092089785193165e-07
0.0021031,2103.1,-9.602682002531202e-09,-9.602682002531202e-09,-0.009602682002531202,-0.021045405687425012,315.9266035008328,4.8873844529224385e-29,-2.4848334119869166e-27,-2.4359595674576922e-27,-9.948735550533013e-34,-4.0032443480215997e-07,4.0032443480215997e-07
0.00210315,2103.1499999999996,-1.0654557378648077e-08,-1.0654557378648077e-08,-0.010654557378648077,-0.021028744467041907,350.5222118234271,4.879649030044823e-29,-2.484756056105503e-27,-2.4359595658050547e-27,-9.932209175440207e-34,-3.9965943453808105e-07,3.9965943453808105e-07
0.0021032,2103.2,-1.1705556449235393e-08,-1.1705556449235393e-08,-0.011705556449235393,-0.021010354271650006,385.0856038525745,4.871117996701704e-29,-2.4846707439497445e-27,-2.4359595639827275e-27,-9.913985902792494e-34,-3.989261532797858e-07,3.989261532797858e-07
0.00210325,2103.25,-1.2755592805813077e-08,-1.2755592805813077e-08,-0.012755592805813077,-0.020990236791234757,419.6136127574473,4.861794240942665e-29,-2.484577504400838e-27,-2.4359595619914114e-27,-9.894072742221104e-34,-3.981248730858983e-07,3.981248730858983e-07
0.0021033,2103.2999999999997,-1.3804580128358867e-08,-1.3804580128358867e-08,-0.013804580128358867,-0.020968393873972615,454.1030777282705,4.851680918683269e-29,-2.4844763690187056e-27,-2.4359595598318728e-27,-9.872477356250247e-34,-3.972559022866238e-07,3.972559022866238e-07
0.00210335,2103.35,-1.4852432193210338e-08,-1.4852432193210338e-08,-0.014852432193210337,-0.020944827525916764,488.5508445057524,4.8407814525044967e-29,-2.4843673720299872e-27,-2.435959557504942e-27,-9.849208049535143e-34,-3.963195750507005e-07,3.963195750507005e-07
0.0021034,2103.4,-1.5899062880950544e-08,-1.5899062880950544e-08,-0.015899062880950544,-0.02091953991065644,522.9537659072458,4.8290995303515134e-29,-2.4842505503150288e-27,-2.4359595550115137e-27,-9.824273765274694e-34,-3.9531625124105057e-07,3.9531625124105057e-07
0.0021034499999999998,2103.45,-1.694438618427598e-08,-1.694438618427598e-08,-0.016944386184275982,-0.020892533348950023,557.3087023493802,4.8166391041324533e-29,-2.484125943393868e-27,-2.4359595523525436e-27,-9.797684063687544e-34,-3.9424631554868375e-07,3.9424631554868375e-07
0.0021035,2103.5,-1.7988316215845545e-08,-1.7988316215845545e-08,-0.017988316215845544,-0.020863810318332114,591.6125223669119,4.8034043882179646e-29,-2.483993593411232e-27,-2.4359595495290523e-27,-9.769449150710668e-34,-3.931101786474923e-07,3.931101786474923e-07
0.00210355,2103.55,-1.9030767216109192e-08,-1.9030767216109192e-08,-0.019030767216109194,-0.020833373452694752,625.8621031275413,4.789399857842288e-29,-2.4838535451205455e-27,-2.4359595465421225e-27,-9.739579852888105e-34,-3.9190827618380537e-07,3.9190827618380537e-07
0.0021035999999999997,2103.6,-2.007165356111502e-08,-2.007165356111502e-08,-0.020071653561115017,-0.020801225541843,660.0543309424467,4.774630247406715e-29,-2.4837058458669643e-27,-2.435959543392897e-27,-9.708087599434338e-34,-3.9064106805464264e-07,3.9064106805464264e-07
0.00210365,2103.65,-2.111088977029349e-08,-2.111088977029349e-08,-0.02111088977029349,-0.02076736953102513,694.1861017722938,4.759100548686311e-29,-2.4835505455694447e-27,-2.4359595400825816e-27,-9.674984443758238e-34,-3.8930903927381006e-07,3.8930903927381006e-07
0.0021037,2103.7,-2.214839051421753e-08,-2.214839051421753e-08,-0.02214839051421753,-0.02073180852043761,728.2543217284785,4.7428160089408334e-29,-2.483387696701849e-27,-2.4359595366124407e-27,-9.640283034764471e-34,-3.8791269881710503e-07,3.8791269881710503e-07
0.0021037499999999997,2103.7499999999995,-2.318407062233725e-08,-2.318407062233725e-08,-0.02318407062233725,-0.020694545764705165,762.2559075693669,4.7257821289308257e-29,-2.483217354273108e-27,-2.4359595329837996e-27,-9.603996624028146e-34,-3.8645257991101555e-07,3.8645257991101555e-07
0.0021038,2103.7999999999997,-2.4217845090688045e-08,-2.4217845090688045e-08,-0.024217845090688046,-0.02065558467233615,796.1877871912998,4.7080046608399176e-29,-2.4830395758064408e-27,-2.4359595291980416e-27,-9.566139044270873e-34,-3.8492923916662354e-07,3.8492923916662354e-07
0.00210385,2103.85,-2.5249629089570864e-08,-2.5249629089570864e-08,-0.025249629089570864,-0.020614928805153514,830.0469001141356,4.689489606104414e-29,-2.4828544213176532e-27,-2.4359595252566092e-27,-9.526724720122732e-34,-3.8334325701265335e-07,3.8334325701265335e-07
0.0021038999999999997,2103.8999999999996,-2.6279337971203396e-08,-2.6279337971203396e-08,-0.026279337971203395,-0.020572581877701633,863.830197961106,4.670243213151279e-29,-2.4826619532925146e-27,-2.435959521161002e-27,-9.485768646598328e-34,-3.816952368293755e-07,3.816952368293755e-07
0.00210395,2103.95,-2.7306887277341028e-08,-2.7306887277341028e-08,-0.027306887277341027,-0.020528547756629285,897.5346449327672,4.650271975045685e-29,-2.4824622366632326e-27,-2.4359595169127757e-27,-9.443286385509474e-34,-3.799858048042573e-07,3.799858048042573e-07
0.002104,2104.0,-2.8332192746866325e-08,-2.8332192746866325e-08,-0.028332192746866325,-0.020482830460049093,931.1572182748322,4.629582627049339e-29,-2.482255338784037e-27,-2.4359595125135437e-27,-9.39929406546518e-34,-3.782156099319628e-07,3.782156099319628e-07
0.00210405,2104.05,-2.9355170323345935e-08,-2.9355170323345935e-08,-0.029355170323345937,-0.02043543415687373,964.6949087396779,4.6081821440908253e-29,-2.4820413294058804e-27,-2.435959507964972e-27,-9.353808349585747e-34,-3.7638532271520886e-07,3.7638532271520886e-07
0.0021041,2104.1,-3.03757361625537e-08,-3.03757361625537e-08,-0.030375736162553697,-0.020386363166129205,998.1447210413189,4.586077738149257e-29,-2.4818202806502754e-27,-2.435959503268783e-27,-9.306846457026704e-34,-3.7449563603086114e-07,3.7449563603086114e-07
0.00210415,2104.15,-3.1393806639958856e-08,-3.1393806639958856e-08,-0.03139380663995885,-0.02033562195624558,1031.5036743036558,4.563276855552581e-29,-2.481592266982277e-27,-2.435959498426751e-27,-9.258426137867542e-34,-3.725472641194886e-07,3.725472641194886e-07
0.0021042,2104.2000000000003,-3.240929835817825e-08,-3.240929835817825e-08,-0.03240929835817825,-0.020283215144325444,1064.7688025018003,4.5397871741918795e-29,-2.4813573651826215e-27,-2.4359594934407027e-27,-9.208565655175095e-34,-3.705409418636169e-07,3.705409418636169e-07
0.00210425,2104.25,-3.342212815439139e-08,-3.342212815439139e-08,-0.03342212815439139,-0.020229147495390492,1097.937154896294,4.5156166006530947e-29,-2.4811156543190486e-27,-2.4359594883125175e-27,-9.15728380294016e-34,-3.684774255094749e-07,3.684774255094749e-07
0.0021043,2104.2999999999997,-3.44322131077173e-08,-3.44322131077173e-08,-0.0344322131077173,-0.020173423921606582,1131.00579646004,4.4907732672676125e-29,-2.4808672157168e-27,-2.435959483044124e-27,-9.104599866616928e-34,-3.663574910791522e-07,3.663574910791522e-07
0.00210435,2104.35,-3.5439470546552054e-08,-3.5439470546552054e-08,-0.035439470546552054,-0.02011604948148764,1163.9718082977654,4.465265529083188e-29,-2.4806121329283322e-27,-2.4359594776375002e-27,-9.050533630297639e-34,-3.6418193465929746e-07,3.6418193465929746e-07
0.0021043999999999998,2104.3999999999996,-3.6443818055866065e-08,-3.6443818055866065e-08,-0.036443818055866065,-0.020057029379078748,1196.8322880578582,4.439101960756711e-29,-2.4803504917022415e-27,-2.4359594720946745e-27,-8.995105373125253e-34,-3.619515722567693e-07,3.619515722567693e-07
0.00210445,2104.45,-3.7445173484459926e-08,-3.7445173484459926e-08,-0.03744517348445993,-0.01999636896311889,1229.5843503364035,4.412291353370376e-29,-2.4800823799514233e-27,-2.4359594664177195e-27,-8.93833582265824e-34,-3.5966723792209476e-07,3.5966723792209476e-07
0.0021045,2104.5,-3.844345495217795e-08,-3.844345495217795e-08,-0.03844345495217795,-0.019934073726183648,1262.2251270732722,4.3848427111728243e-29,-2.479807887720486e-27,-2.4359594606087577e-27,-8.880246205093112e-34,-3.5732978577036e-07,3.5732978577036e-07
0.0021045499999999997,2104.5499999999997,-3.9438580857078287e-08,-3.9438580857078287e-08,-0.039438580857078284,-0.019870149303808312,1294.7517679401021,4.35676524824686e-29,-2.479527107152423e-27,-2.4359594546699542e-27,-8.820858169930625e-34,-3.5494008694987426e-07,3.5494008694987426e-07
0.0021046,2104.6,-4.043046988255878e-08,-4.043046988255878e-08,-0.04043046988255878,-0.01980460147359181,1327.1614407200384,4.328068385105388e-29,-2.4792401324545737e-27,-2.4359594486035198e-27,-8.760193825849014e-34,-3.524990310856631e-07,3.524990310856631e-07
0.00210465,2104.65,-4.1419041004437465e-08,-4.1419041004437465e-08,-0.04141904100443747,-0.01973743615428183,1359.4513316790883,4.2987617452172255e-29,-2.4789470598638802e-27,-2.435959442411708e-27,-8.698275708418078e-34,-3.500075249803244e-07,3.500075249803244e-07
