x_m,x_um,slm_potential_J,slm_potential_uK,slm_force_N,aod_potential_J,aod_potential_uK,aod_force_N
-4.495140000000e-06,-4.495140000000e+00,-3.750985300601e-40,-2.716827593835e-11,4.926935222191e-33,-5.834866023157e-40,-4.226176257077e-11,7.664121456741e-33
-4.492800000000e-06,-4.492800000000e+00,-3.868034714319e-40,-2.801606139083e-11,5.078035317260e-33,-6.016942888941e-40,-4.358053994130e-11,7.899166049072e-33
-4.490460000000e-06,-4.490460000000e+00,-3.988672833140e-40,-2.888983972856e-11,5.233684216613e-33,-6.204602184885e-40,-4.493975068888e-11,8.141286559176e-33
-4.488120000000e-06,-4.488120000000e+00,-4.113007662728e-40,-2.979039323338e-11,5.394016203153e-33,-6.398011919799e-40,-4.634061169637e-11,8.390691871572e-33
-4.485780000000e-06,-4.485780000000e+00,-4.241150396181e-40,-3.071852727363e-11,5.559169442379e-33,-6.597345060726e-40,-4.778437575898e-11,8.647596910367e-33
-4.483440000000e-06,-4.483440000000e+00,-4.373215506166e-40,-3.167507097145e-11,5.729286092181e-33,-6.802779676259e-40,-4.927233262226e-11,8.912222810059e-33
-4.481100000000e-06,-4.481100000000e+00,-4.509320839652e-40,-3.266087788897e-11,5.904512415682e-33,-7.014499083904e-40,-5.080581004950e-11,9.184797091060e-33
-4.478760000000e-06,-4.478760000000e+00,-4.649587715324e-40,-3.367682673383e-11,6.084998897183e-33,-7.232692001615e-40,-5.238617491930e-11,9.465553840063e-33
-4.476420000000e-06,-4.476420000000e+00,-4.794141023745e-40,-3.472382208472e-11,6.270900361316e-33,-7.457552703603e-40,-5.401483435401e-11,9.754733895380e-33
-4.474080000000e-06,-4.474080000000e+00,-4.943109330347e-40,-3.580279513726e-11,6.462376095469e-33,-7.689281180540e-40,-5.569323688019e-11,1.005258503740e-32
-4.471740000000e-06,-4.471740000000e+00,-5.096624981325e-40,-3.691470447105e-11,6.659589975598e-33,-7.928083304283e-40,-5.742287362163e-11,1.035936218426e-32
-4.469400000000e-06,-4.469400000000e+00,-5.254824212514e-40,-3.806053683821e-11,6.862710595488e-33,-8.174170997244e-40,-5.920527952611e-11,1.067532759298e-32
-4.467060000000e-06,-4.467060000000e+00,-5.417847261334e-40,-3.924130797425e-11,7.071911399581e-33,-8.427762406520e-40,-6.104203462661e-11,1.100075106601e-32
-4.464720000000e-06,-4.464720000000e+00,-5.585838481884e-40,-4.045806343165e-11,7.287370819443e-33,-8.689082082931e-40,-6.293476533812e-11,1.133591016358e-32
-4.462380000000e-06,-4.462380000000e+00,-5.758946463276e-40,-4.171187943696e-11,7.509272413995e-33,-8.958361165096e-40,-6.488514579083e-11,1.168109042177e-32
-4.460040000000e-06,-4.460040000000e+00,-5.937324151290e-40,-4.300386377196e-11,7.737805013578e-33,-9.235837568673e-40,-6.689489920083e-11,1.203658557668e-32
-4.457700000000e-06,-4.457700000000e+00,-6.121128973451e-40,-4.433515667958e-11,7.973162867982e-33,-9.521756180923e-40,-6.896579927935e-11,1.240269779464e-32
-4.455360000000e-06,-4.455360000000e+00,-6.310522967616e-40,-4.570693179524e-11,8.215545798524e-33,-9.816369060736e-40,-7.109967168148e-11,1.277973790881e-32
-4.453020000000e-06,-4.453020000000e+00,-6.505672914168e-40,-4.712039710432e-11,8.465159354298e-33,-1.011993564426e-39,-7.329839549560e-11,1.316802566224e-32
-4.450680000000e-06,-4.450680000000e+00,-6.706750471912e-40,-4.857679592650e-11,8.722214972702e-33,-1.043272295631e-39,-7.556390477455e-11,1.356788995754e-32
-4.448340000000e-06,-4.448340000000e+00,-6.913932317788e-40,-5.007740792763e-11,8.986930144352e-33,-1.075500582767e-39,-7.789819010965e-11,1.397966911344e-32
-4.446000000000e-06,-4.446000000000e+00,-7.127400290483e-40,-5.162355015999e-11,9.259528582508e-33,-1.108706711853e-39,-8.030330024887e-11,1.440371112835e-32
-4.443660000000e-06,-4.443660000000e+00,-7.347341538076e-40,-5.321657813156e-11,9.540240397133e-33,-1.142919794812e-39,-8.278134376020e-11,1.484037395110e-32
-4.441320000000e-06,-4.441320000000e+00,-7.573948669795e-40,-5.485788690533e-11,9.829302273690e-33,-1.178169793079e-39,-8.533449074162e-11,1.529002575907e-32
-4.438980000000e-06,-4.438980000000e+00,-7.807419912030e-40,-5.654891222917e-11,1.012695765683e-32,-1.214487541871e-39,-8.796497457872e-11,1.575304524396e-32
-4.436640000000e-06,-4.436640000000e+00,-8.047959268691e-40,-5.829113169742e-11,1.043345693910e-32,-1.251904775130e-39,-9.067509375154e-11,1.622982190527e-32
-4.434300000000e-06,-4.434300000000e+00,-8.295776686052e-40,-6.008606594472e-11,1.074905765475e-32,-1.290454151164e-39,-9.346721369179e-11,1.672075635183e-32
-4.431960000000e-06,-4.431960000000e+00,-8.551088222178e-40,-6.193527987329e-11,1.107402467884e-32,-1.330169279005e-39,-9.634376869179e-11,1.722626061153e-32
-4.429620000000e-06,-4.429620000000e+00,-8.814116221090e-40,-6.384038391431e-11,1.140863043181e-32,-1.371084745503e-39,-9.930726386670e-11,1.774675844948e-32
-4.427280000000e-06,-4.427280000000e+00,-9.085089491771e-40,-6.580303532448e-11,1.175315508953e-32,-1.413236143164e-39,-1.023602771714e-10,1.828268569482e-32
-4.424940000000e-06,-4.424940000000e+00,-9.364243492155e-40,-6.782493951870e-11,1.210788679909e-32,-1.456660098780e-39,-1.055054614735e-10,1.883449057636e-32
-4.422600000000e-06,-4.422600000000e+00,-9.651820518236e-40,-6.990785143969e-11,1.247312190049e-32,-1.501394302837e-39,-1.087455466840e-10,1.940263406743e-32
-4.420260000000e-06,-4.420260000000e+00,-9.948069898436e-40,-7.205357696588e-11,1.284916515429e-32,-1.547477539757e-39,-1.120833419469e-10,1.998759024000e-32
-4.417920000000e-06,-4.417920000000e+00,-1.025324819337e-39,-7.426397435821e-11,1.323632997544e-32,-1.594949718969e-39,-1.155217378906e-10,2.058984662846e-32
-4.415580000000e-06,-4.415580000000e+00,-1.056761940115e-39,-7.654095574726e-11,1.363493867348e-32,-1.643851906846e-39,-1.190637089402e-10,2.120990460320e-32
-4.413240000000e-06,-4.413240000000e+00,-1.089145516840e-39,-7.888648866151e-11,1.404532269922e-32,-1.694226359529e-39,-1.227123156957e-10,2.184827975434e-32
-4.410900000000e-06,-4.410900000000e+00,-1.122503500711e-39,-8.130259759804e-11,1.446782289806e-32,-1.746116556662e-39,-1.264707073747e-10,2.250550228587e-32
-4.408560000000e-06,-4.408560000000e+00,-1.156864651750e-39,-8.379136563677e-11,1.490278977024e-32,-1.799567236056e-39,-1.303421243239e-10,2.318211742037e-32
-4.406220000000e-06,-4.406220000000e+00,-1.192258561706e-39,-8.635493609930e-11,1.535058373806e-32,-1.854624429320e-39,-1.343299005989e-10,2.387868581476e-32
-4.403880000000e-06,-4.403880000000e+00,-1.228715677589e-39,-8.899551425376e-11,1.581157542033e-32,-1.911335498472e-39,-1.384374666170e-10,2.459578398718e-32
-4.401540000000e-06,-4.401540000000e+00,-1.266267325866e-39,-9.171536906671e-11,1.628614591421e-32,-1.969749173569e-39,-1.426683518816e-10,2.533400475544e-32
-4.399200000000e-06,-4.399200000000e+00,-1.304945737308e-39,-9.451683500354e-11,1.677468708471e-32,-2.029915591368e-39,-1.470261877833e-10,2.609395768733e-32
-4.396860000000e-06,-4.396860000000e+00,-1.344784072540e-39,-9.740231387847e-11,1.727760186190e-32,-2.091886335062e-39,-1.515147104776e-10,2.687626956295e-32
-4.394520000000e-06,-4.394520000000e+00,-1.385816448285e-39,-1.003742767557e-10,1.779530454619e-32,-2.155714475111e-39,-1.561377638423e-10,2.768158484963e-32
-4.392180000000e-06,-4.392180000000e+00,-1.428077964339e-39,-1.034352659032e-10,1.832822112181e-32,-2.221454611194e-39,-1.608993025160e-10,2.851056618948e-32
