time_s,rf_x_hz,rf_y_hz,amplitude,slm_digital
1.35e-05,79590943.8,79590943.8,0.0043183032,1
1.355e-05,79590943.8,79590943.8,0.00436408026,1
1.36e-05,79590943.8,79590943.8,0.00439459831,1
1.365e-05,79590943.8,79590943.8,0.00442511635,1
1.37e-05,79590943.8,79590943.8,0.00445563439,1
1.375e-05,79590943.8,79590943.8,0.00448615244,1
1.38e-05,79590943.8,79590943.8,0.00451667048,1
1.385e-05,79590943.8,79590943.8,0.00454718853,1
1.39e-05,79590943.8,79590943.8,0.00459296559,1
1.395e-05,79590943.8,79590943.8,0.00462348363,1
1.4e-05,79590943.8,79590943.8,0.00465400168,1
1.405e-05,79590943.8,79590943.8,0.00468451972,1
1.41e-05,79590943.8,79590943.8,0.00471503777,1
1.415e-05,79590943.8,79590943.8,0.00474555581,1
1.42e-05,79590943.8,79590943.8,0.00479133288,1
1.425e-05,79590943.8,79590943.8,0.00482185092,1
1.43e-05,79590943.8,79590943.8,0.00485236896,1
1.435e-05,79590943.8,79590943.8,0.00488288701,1
1.44e-05,79590943.8,79590943.8,0.00492866407,1
1.445e-05,79590943.8,79590943.8,0.00495918212,1
1.45e-05,79590943.8,79590943.8,0.00498970016,1
1.455e-05,79590943.8,79590943.8,0.0050202182,1
1.46e-05,79590943.8,79590943.8,0.00506599527,1
1.465e-05,79590943.8,79590943.8,0.00509651331,1
1.47e-05,79590943.8,79590943.8,0.00512703136,1
1.475e-05,79590943.8,79590943.8,0.0051575494,1
1.48e-05,79590943.8,79590943.8,0.00520332647,1
1.485e-05,79590943.8,79590943.8,0.00523384451,1
1.49e-05,79590943.8,79590943.8,0.00526436255,1
1.495e-05,79590943.8,79590943.8,0.00531013962,1
1.5e-05,79590943.8,79590943.8,0.00534065766,1
1.505e-05,79590943.8,79590943.8,0.00537117571,1
1.51e-05,79590943.8,79590943.8,0.00541695277,1
1.515e-05,79590943.8,79590943.8,0.00544747082,1
1.52e-05,79590943.8,79590943.8,0.00547798886,1
1.525e-05,79590943.8,79590943.8,0.00552376593,1
1.53e-05,79590943.8,79590943.8,0.00555428397,1
1.535e-05,79590943.8,79590943.8,0.00560006104,1
1.54e-05,79590943.8,79590943.8,0.00563057908,1
1.545e-05,79590943.8,79590943.8,0.00566109712,1
1.55e-05,79590943.8,79590943.8,0.00570687419,1
1.555e-05,79590943.8,79590943.8,0.00573739223,1
1.56e-05,79590943.8,79590943.8,0.0057831693,1
1.565e-05,79590943.8,79590943.8,0.00581368734,1
1.57e-05,79590943.8,79590943.8,0.00584420539,1
1.575e-05,79590943.8,79590943.8,0.00588998245,1
1.58e-05,79590943.8,79590943.8,0.0059205005,1
1.585e-05,79590943.8,79590943.8,0.00596627756,1
1.59e-05,79590943.8,79590943.8,0.00599679561,1
1.595e-05,79590943.8,79590943.8,0.00604257267,1
1.6e-05,79590943.8,79590943.8,0.00607309071,1
1.605e-05,79590943.8,79590943.8,0.00611886778,1
1.61e-05,79590943.8,79590943.8,0.00614938582,1
1.615e-05,79590943.8,79590943.8,0.00619516289,1
1.62e-05,79590943.8,79590943.8,0.00622568093,1
1.625e-05,79590943.8,79590943.8,0.006271458,1
1.63e-05,79590943.8,79590943.8,0.00630197604,1
1.635e-05,79590943.8,79590943.8,0.00634775311,1
1.64e-05,79590943.8,79590943.8,0.00637827115,1
1.645e-05,79590943.8,79590943.8,0.00642404822,1
1.65e-05,79590943.8,79590943.8,0.00645456626,1
1.655e-05,79590943.8,79590943.8,0.00650034333,1
1.66e-05,79590943.8,79590943.8,0.00654612039,1
1.665e-05,79590943.8,79590943.8,0.00657663844,1
1.67e-05,79590943.8,79590943.8,0.0066224155,1
1.675e-05,79590943.8,79590943.8,0.00665293355,1
1.68e-05,79590943.8,79590943.8,0.00669871061,1
1.685e-05,79590943.8,79590943.8,0.00674448768,1
1.69e-05,79590943.8,79590943.8,0.00677500572,1
1.695e-05,79590943.8,79590943.8,0.00682078279,1
1.7e-05,79590943.8,79590943.8,0.00686655985,1
1.705e-05,79590943.8,79590943.8,0.0068970779,1
1.71e-05,79590943.8,79590943.8,0.00694285496,1
1.715e-05,79590943.8,79590943.8,0.00698863203,1
1.72e-05,79590943.8,79590943.8,0.00701915007,1
1.725e-05,79590943.8,79590943.8,0.00706492714,1
1.73e-05,79590943.8,79590943.8,0.0071107042,1
1.735e-05,79590943.8,79590943.8,0.00714122225,1
1.74e-05,79590943.8,79590943.8,0.00718699931,1
1.745e-05,79590943.8,79590943.8,0.00723277638,1
1.75e-05,79590943.8,79590943.8,0.00726329442,1
1.755e-05,79590943.8,79590943.8,0.00730907149,1
1.76e-05,79590943.8,79590943.8,0.00735484855,1
1.765e-05,79590943.8,79590943.8,0.00740062562,1
1.77e-05,79590943.8,79590943.8,0.00743114366,1
1.775e-05,79590943.8,79590943.8,0.00747692073,1
1.78e-05,79590943.8,79590943.8,0.0075226978,1
1.785e-05,79590943.8,79590943.8,0.00756847486,1
1.79e-05,79590943.8,79590943.8,0.0075989929,1
1.795e-05,79590943.8,79590943.8,0.00764476997,1
1.8e-05,79590943.8,79590943.8,0.00769054704,1
1.805e-05,79590943.8,79590943.8,0.0077363241,1
1.81e-05,79590943.8,79590943.8,0.00778210117,1
1.815e-05,79590943.8,79590943.8,0.00781261921,1
1.82e-05,79590943.8,79590943.8,0.00785839628,1
1.825e-05,79590943.8,79590943.8,0.00790417334,1
1.83e-05,79590943.8,79590943.8,0.00794995041,1
1.835e-05,79590943.8,79590943.8,0.00799572747,1
1.84e-05,79590943.8,79590943.8,0.00804150454,1
1.845e-05,79590943.8,79590943.8,0.00808728161,1
1.85e-05,79590943.8,79590943.8,0.00811779965,1
1.855e-05,79590943.8,79590943.8,0.00816357671,1
1.86e-05,79590943.8,79590943.8,0.00820935378,1
1.865e-05,79590943.8,79590943.8,0.00825513085,1
1.87e-05,79590943.8,79590943.8,0.00830090791,1
1.875e-05,79590943.8,79590943.8,0.00834668498,1
1.88e-05,79590943.8,79590943.8,0.00839246204,1
1.885e-05,79590943.8,79590943.8,0.00843823911,1
1.89e-05,79590943.8,79590943.8,0.00848401617,1
1.895e-05,79590943.8,79590943.8,0.00852979324,1
1.9e-05,79590943.8,79590943.8,0.00857557031,1
1.905e-05,79590943.8,79590943.8,0.00862134737,1
1.91e-05,79590943.8,79590943.8,0.00865186542,1
1.915e-05,79590943.8,79590943.8,0.00869764248,1
1.92e-05,79590943.8,79590943.8,0.00874341955,1
1.925e-05,79590943.8,79590943.8,0.00878919661,1
1.93e-05,79590943.8,79590943.8,0.00883497368,1
1.935e-05,79590943.8,79590943.8,0.00888075074,1
1.94e-05,79590943.8,79590943.8,0.00892652781,1
1.945e-05,79590943.8,79590943.8,0.00897230488,1
1.95e-05,79590943.8,79590943.8,0.00901808194,1
1.955e-05,79590943.8,79590943.8,0.00907911803,1
1.96e-05,79590943.8,79590943.8,0.00912489509,1
1.965e-05,79590943.8,79590943.8,0.00917067216,1
1.97e-05,79590943.8,79590943.8,0.00921644923,1
1.975e-05,79590943.8,79590943.8,0.00926222629,1
1.98e-05,79590943.8,79590943.8,0.00930800336,1
1.985e-05,79590943.8,79590943.8,0.00935378042,1
1.99e-05,79590943.8,79590943.8,0.00939955749,1
1.995e-05,79590943.8,79590943.8,0.00944533455,1
2e-05,79590943.8,79590943.8,0.00949111162,1
2.005e-05,79590943.8,79590943.8,0.00953688869,1
2.01e-05,79590943.8,79590943.8,0.00958266575,1
2.015e-05,79590943.8,79590943.8,0.00964370184,1
2.02e-05,79590943.8,79590943.8,0.0096894789,1
2.025e-05,79590943.8,79590943.8,0.00973525597,1
2.03e-05,79590943.8,79590943.8,0.00978103304,1
2.035e-05,79590943.8,79590943.8,0.0098268101,1
2.04e-05,79590943.8,79590943.8,0.00987258717,1
2.045e-05,79590943.8,79590943.8,0.00993362325,1
2.05e-05,79590943.8,79590943.8,0.00997940032,1
2.055e-05,79590943.8,79590943.8,0.0100251774,1
2.06e-05,79590943.8,79590943.8,0.0100709545,1
2.065e-05,79590943.8,79590943.8,0.0101167315,1
2.07e-05,79590943.8,79590943.8,0.0101777676,1
2.075e-05,79590943.8,79590943.8,0.0102235447,1
2.08e-05,79590943.8,79590943.8,0.0102693217,1
2.085e-05,79590943.8,79590943.8,0.0103150988,1
2.09e-05,79590943.8,79590943.8,0.0103608759,1
2.095e-05,79590943.8,79590943.8,0.010421912,1
2.1e-05,79590943.8,79590943.8,0.010467689,1
2.105e-05,79590943.8,79590943.8,0.0105134661,1
2.11e-05,79590943.8,79590943.8,0.0105745022,1
2.115e-05,79590943.8,79590943.8,0.0106202792,1
2.12e-05,79590943.8,79590943.8,0.0106660563,1
2.125e-05,79590943.8,79590943.8,0.0107118334,1
2.13e-05,79590943.8,79590943.8,0.0107728695,1
2.135e-05,79590943.8,79590943.8,0.0108186465,1
2.14e-05,79590943.8,79590943.8,0.0108644236,1
2.145e-05,79590943.8,79590943.8,0.0109254597,1
2.15e-05,79590943.8,79590943.8,0.0109712367,1
2.155e-05,79590943.8,79590943.8,0.0110170138,1
2.16e-05,79590943.8,79590943.8,0.0110780499,1
2.165e-05,79590943.8,79590943.8,0.011123827,1
2.17e-05,79590943.8,79590943.8,0.011169604,1
2.175e-05,79590943.8,79590943.8,0.0112306401,1
2.18e-05,79590943.8,79590943.8,0.0112764172,1
2.185e-05,79590943.8,79590943.8,0.0113374533,1
2.19e-05,79590943.8,79590943.8,0.0113832303,1
2.195e-05,79590943.8,79590943.8,0.0114290074,1
2.2e-05,79590943.8,79590943.8,0.0114900435,1
2.205e-05,79590943.8,79590943.8,0.0115358206,1
2.21e-05,79590943.8,79590943.8,0.0115968566,1
2.215e-05,79590943.8,79590943.8,0.0116426337,1
2.22e-05,79590943.8,79590943.8,0.0117036698,1
2.225e-05,79590943.8,79590943.8,0.0117494469,1
2.23e-05,79590943.8,79590943.8,0.0118104829,1
2.235e-05,79590943.8,79590943.8,0.01185626,1
2.24e-05,79590943.8,79590943.8,0.0119172961,1
2.245e-05,79590943.8,79590943.8,0.0119630732,1
2.25e-05,79590943.8,79590943.8,0.0120088502,1
2.255e-05,79590943.8,79590943.8,0.0120698863,1
2.26e-05,79590943.8,79590943.8,0.0121309224,1
2.265e-05,79590943.8,79590943.8,0.0121766995,1
2.27e-05,79590943.8,79590943.8,0.0122377356,1
2.275e-05,79590943.8,79590943.8,0.0122835126,1
2.28e-05,79590943.8,79590943.8,0.0123445487,1
2.285e-05,79590943.8,79590943.8,0.0123903258,1
2.29e-05,79590943.8,79590943.8,0.0124513619,1
2.295e-05,79590943.8,79590943.8,0.0124971389,1
2.3e-05,79590943.8,79590943.8,0.012558175,1
2.305e-05,79590943.8,79590943.8,0.0126039521,1
2.31e-05,79590943.8,79590943.8,0.0126649882,1
2.315e-05,79590943.8,79590943.8,0.0127260243,1
2.32e-05,79590943.8,79590943.8,0.0127718013,1
2.325e-05,79590943.8,79590943.8,0.0128328374,1
2.33e-05,79590943.8,79590943.8,0.0128786145,1
2.335e-05,79590943.8,79590943.8,0.0129396506,1
2.34e-05,79590943.8,79590943.8,0.0130006867,1
2.345e-05,79590943.8,79590943.8,0.0130464637,1
2.35e-05,79590943.8,79590943.8,0.0131074998,1
2.355e-05,79590943.8,79590943.8,0.0131685359,1
2.36e-05,79590943.8,79590943.8,0.013214313,1
2.365e-05,79590943.8,79590943.8,0.0132753491,1
2.37e-05,79590943.8,79590943.8,0.0133363851,1
2.375e-05,79590943.8,79590943.8,0.0133821622,1
2.38e-05,79590943.8,79590943.8,0.0134431983,1
2.385e-05,79590943.8,79590943.8,0.0135042344,1
2.39e-05,79590943.8,79590943.8,0.0135652705,1
2.395e-05,79590943.8,79590943.8,0.0136110475,1
2.4e-05,79590943.8,79590943.8,0.0136720836,1
2.405e-05,79590943.8,79590943.8,0.0137331197,1
2.41e-05,79590943.8,79590943.8,0.0137788968,1
2.415e-05,79590943.8,79590943.8,0.0138399329,1
2.42e-05,79590943.8,79590943.8,0.0139009689,1
2.425e-05,79590943.8,79590943.8,0.013962005,1
2.43e-05,79590943.8,79590943.8,0.0140230411,1
2.435e-05,79590943.8,79590943.8,0.0140688182,1
2.44e-05,79590943.8,79590943.8,0.0141298543,1
2.445e-05,79590943.8,79590943.8,0.0141908904,1
2.45e-05,79590943.8,79590943.8,0.0142519265,1
2.455e-05,79590943.8,79590943.8,0.0143129625,1
2.46e-05,79590943.8,79590943.8,0.0143587396,1
2.465e-05,79590943.8,79590943.8,0.0144197757,1
2.47e-05,79590943.8,79590943.8,0.0144808118,1
2.475e-05,79590943.8,79590943.8,0.0145418479,1
2.48e-05,79590943.8,79590943.8,0.014602884,1
